primaryName,productor_score_mean,productor_score_max,productor_score_std,productor_ganador_oscar_prom,productor_nominado_oscar_prom
Dave Gargani,,,,0.0,0.0
Dave Gerald,6.5,6.5,,0.0,0.0
Dave Gianakos,9.1,9.1,,0.0,0.0
Dave Gibson,5.925000000000001,6.7,0.6396613687465162,0.0,0.0
Dave Gillam,,,,0.0,0.0
Dave Gist,5.0,5.0,,0.0,0.0
Dave Grabarek,7.0,7.0,,0.0,0.0
Dave Green,4.8,4.8,,0.0,0.0
Dave Griffiths,7.0,7.0,,0.0,0.0
Dave Grohl,7.8,7.8,,0.0,0.0
Dave Guenette,,,,0.0,0.0
Dave Habeeb,,,,0.0,0.0
Dave Hande,8.6,8.6,,0.0,0.0
Dave Hansen,5.45,7.4,1.3095800853708794,0.0,0.0
Dave Hanson,4.4,4.4,,0.0,0.0
Dave Hansow,6.9,6.9,,0.0,0.0
Dave Harding,7.666666666666667,8.0,0.3511884584284246,0.0,0.0
Dave Harmon,,,,0.0,0.0
Dave Harris,,,,0.0,0.0
Dave Hart,6.0,6.0,,0.0,0.0
Dave Heck,6.3,6.3,,0.0,0.0
Dave Hellman,2.3,2.3,,0.0,0.0
Dave Hemmingway,6.7,6.7,,0.0,0.0
Dave Herz,7.5,7.5,,0.0,0.0
Dave Hickey,,,,0.0,0.0
Dave Hill,5.2,5.2,,0.0,0.0
Dave Hodgson,6.9,6.9,,0.0,0.0
Dave Hoekstra,9.2,9.2,,0.0,0.0
Dave Horner,,,,0.0,0.0
Dave Hukom,7.3,7.3,,0.0,0.0
Dave Hunter,5.7555555555555555,6.6,0.7037597443572471,0.0,0.0
Dave Iverson,7.8,7.8,,0.0,0.0
Dave Jackson,4.766666666666667,5.3,0.5033222956847166,0.0,0.0
Dave Jacombs Jr.,,,,0.0,0.0
Dave James,,,,0.0,0.0
Dave Jannetta,6.4,6.4,,0.0,0.0
Dave Jaye,,,,0.0,0.0
Dave Jesteadt,7.0,7.0,,0.0,0.0
Dave Jigar,,,,0.0,0.0
Dave Jingo,,,,0.0,0.0
Dave Johnson,,,,0.0,0.0
Dave Jones,7.9,7.9,,0.0,0.0
Dave Jordan,5.6,5.6,,0.0,0.0
Dave Jorgenson,,,,0.0,0.0
Dave Kane,,,,0.0,0.0
Dave Kaplan,7.7,7.7,,0.0,0.0
Dave Kavanagh,7.6,7.6,,0.0,0.0
Dave Kellett,7.1,7.1,,0.0,0.0
Dave Kellogg,,,,0.0,0.0
Dave Kelly,8.7,8.7,,0.0,0.0
Dave Kennedy,5.7,5.7,,0.0,0.0
Dave Keystone,7.1,7.1,,0.0,0.0
Dave Kim,3.1999999999999997,4.6,1.9798989873223325,0.0,0.0
Dave King,6.5,6.5,,0.0,0.0
Dave Kinsey,8.149999999999999,8.7,0.7778174593052014,0.0,0.0
Dave Kirby,5.1,5.1,,0.0,0.0
Dave Kirkpatrick,7.6,7.6,,0.0,0.0
Dave Knott,,,,0.0,0.0
Dave Koehn,,,,0.0,0.0
Dave Kornas,,,,0.0,0.0
Dave Kramer,4.85,7.5,3.7476659402887016,0.0,0.0
Dave Kuhr,6.5,6.5,,0.0,0.0
Dave Kwant,,,,0.0,0.0
Dave LaMattina,7.375,8.4,1.0012492197250393,0.0,0.0
Dave Landau,7.7,7.7,,0.0,0.0
Dave Landin,7.1,7.1,,0.0,0.0
Dave Larsen,5.3,5.3,,0.0,0.0
Dave Laven,8.0,8.0,,0.0,0.0
Dave Lawler,3.7,3.7,,0.0,0.0
Dave Leahy,6.866666666666667,7.5,0.7767453465154027,0.0,0.0
Dave Leskie,3.0,3.0,,0.0,0.0
Dave Less,,,,0.0,0.0
Dave Lewis,7.0,8.3,1.8384776310850242,0.0,0.0
Dave Liang,,,,0.0,0.0
Dave Lifshin,7.8,7.8,,0.0,0.0
Dave Lindsay,,,,0.0,0.0
Dave Lugo,5.55,6.1,0.7778174593052021,0.0,0.0
Dave Mack III,4.1,4.1,,0.0,0.0
Dave Manoucheri,,,,0.0,0.0
Dave Marchiori,2.6,2.6,,0.0,0.0
Dave Marken,2.1,2.1,,0.0,0.0
Dave Martyn,7.3,7.3,,0.0,0.0
Dave Marzullo,,,,0.0,0.0
Dave Maxwell,7.2,7.2,,0.0,0.0
Dave McCabe,3.3,3.3,,0.0,0.0
Dave McCary,,,,0.0,0.0
Dave McCaul,8.6,8.6,,0.0,0.0
Dave McCormick,5.9,5.9,,0.0,0.0
Dave McGlone,7.45,8.0,0.7778174593052021,0.0,0.0
Dave McGrath,4.2,4.2,,0.0,0.0
Dave McLaughlin,5.8,5.8,,0.0,0.0
Dave McLeod,4.4,4.4,,0.0,0.0
Dave McMillan,,,,0.0,0.0
Dave McNarie,8.1,8.1,,0.0,0.0
Dave McSporran,8.0,8.0,,0.0,0.0
Dave Mclean,5.5,5.5,,0.0,0.0
Dave Meehan,,,,0.0,0.0
Dave Meketansky,,,,0.0,0.0
Dave Merlino,,,,0.0,0.0
Dave Miller,,,,0.0,0.0
Dave Minogue,5.3,5.3,,0.0,0.0
Dave Mitchell,2.2,2.2,,0.0,0.0
Dave Moody,5.016666666666667,6.9,1.030372101071582,0.0,0.0
Dave Morgan,,,,0.0,0.0
Dave Morrissey Jr.,,,,0.0,0.0
Dave Mortell,6.3,6.3,,0.0,0.0
Dave Mullins,6.7,6.7,,0.0,0.0
Dave Munson,7.1,7.1,,0.0,0.0
Dave Navarro,7.2,7.5,0.4242640687119283,0.0,0.0
Dave Neopoly,,,,0.0,0.0
Dave Newberg,6.6,6.6,,0.0,0.0
Dave Noel,,,,0.0,0.0
Dave Novick,2.0,2.0,,0.0,0.0
Dave Nuttycombe,8.6,8.6,,0.0,0.0
Dave O'Brien,5.7,6.0,0.2645751311064592,0.0,0.0
Dave O'Leske,7.6,7.6,,0.0,0.0
Dave O'Rourke,7.5,7.5,,0.0,0.0
Dave O'Shea,7.7,7.7,,0.0,0.0
Dave Ohlson,7.1,7.1,,0.0,0.0
Dave Olson,,,,0.0,0.0
Dave Paige,7.7,7.7,,0.0,0.0
Dave Parkerson,6.8,6.8,,0.0,0.0
Dave Patten,3.6,3.6,,0.0,0.0
Dave Pattenden,8.4,8.5,0.141421356237309,0.0,0.0
Dave Payne,4.949999999999999,5.1,0.2121320343559638,0.0,0.0
Dave Pearce,5.6,5.6,,0.0,0.0
Dave Perkal,6.0,6.0,,0.0,0.0
Dave Petrelius,,,,0.0,0.0
Dave Porter,,,,0.0,0.0
Dave Pounder,5.5,5.5,,0.0,0.0
Dave Pultz,6.0,6.0,,0.0,0.0
Dave R. Watkins,3.05,3.1,0.07071067811865497,0.0,0.0
Dave Ragsdale,6.3,6.3,,0.0,0.0
Dave Rai,,,,0.0,0.0
Dave Rajkumar,8.2,8.2,,0.0,0.0
Dave Ramsey,8.0,8.0,,0.0,0.0
Dave Rastovich,7.3,7.3,,0.0,0.0
Dave Redemann,,,,0.0,0.0
Dave Regnier,6.2,6.2,,0.0,0.0
Dave Robinson,7.3,7.3,,0.0,0.0
Dave Rodden-Shortt,,,,0.0,0.0
Dave Rodkey,7.6,9.0,1.9798989873223334,0.0,0.0
Dave Ronne,7.5,7.5,,0.0,0.0
Dave Rosenbaum,,,,0.0,0.0
Dave Rosenberg,,,,0.0,0.0
Dave Rosenblum,7.8,7.8,,0.0,0.0
Dave Ross,,,,0.0,0.0
Dave Roustio,,,,0.0,0.0
Dave Saltzman,6.0,6.3,0.4242640687119283,0.0,0.0
Dave Sangwan,,,,0.0,0.0
Dave Sapp,5.0,6.9,1.4165686240583855,0.0,0.0
Dave Schachter,7.1,7.2,0.1414213562373093,0.0,0.0
Dave Schechtman,,,,0.0,0.0
Dave Schmeling,,,,0.0,0.0
Dave Schram,6.121052631578947,7.2,0.7083462331126724,0.0,0.0
Dave Schultz,6.333333333333333,7.1,0.7094598884597589,0.0,0.0
Dave Schulz,7.75,8.2,0.6363961030678921,0.0,0.0
Dave Scrivani,3.8,3.8,,0.0,0.0
Dave Selle,,,,0.0,0.0
Dave Sellers,5.8,5.8,,0.0,0.0
Dave Shaw,7.1,7.1,,0.0,0.0
Dave Sheridan,,,,0.0,0.0
Dave Simonds,6.8,6.8,,0.0,0.0
Dave Sirulnick,6.9,6.9,,0.0,0.0
Dave Sirus,7.5,7.5,,0.0,0.0
Dave Smiley,7.7,7.7,,0.0,0.0
Dave Snyder,6.3,6.3,,0.0,0.0
Dave Sparx,7.3,7.3,,0.0,0.0
Dave Spencer,6.0,6.0,,0.0,0.0
Dave Spilde,,,,0.0,0.0
Dave Spinks,,,,0.0,0.0
Dave Stearns,,,,0.0,0.0
Dave Steck,6.25,6.8,0.7767453465154033,0.0,0.0
Dave Stein,,,,0.0,0.0
Dave Steinke,8.1,8.1,,0.0,0.0
Dave Storey,7.5,7.5,,0.0,0.0
Dave Street,7.6,7.6,,0.0,0.0
Dave Sunter,8.4,8.4,,0.0,0.0
Dave Swuz,4.8,5.0,0.2828427124746193,0.0,0.0
Dave Szamet,6.466666666666666,8.6,2.6501572280401273,0.0,0.0
Dave Taylor,,,,0.0,0.0
Dave Terman,,,,0.0,0.0
Dave Thomas,6.5,6.5,,0.0,0.0
Dave Torstenson,7.8,7.8,,0.0,0.0
Dave Trimble,,,,0.0,0.0
Dave Tuck,5.7,5.7,,0.0,0.0
Dave Tucker,,,,0.0,0.0
Dave Vizard,,,,0.0,0.0
Dave W. Delaney,,,,0.0,0.0
Dave W. Phillips,4.8,5.6,1.1313708498984758,0.0,0.0
Dave Wain,,,,0.0,0.0
Dave Walpole,,,,0.0,0.0
Dave Wascavage,4.6,4.6,,0.0,0.0
Dave Weekes,8.3,8.3,,0.0,0.0
Dave Weese,3.8,3.8,,0.0,0.0
Dave Werner,6.7,6.7,,0.0,0.0
Dave West,8.5,8.5,,0.0,0.0
Dave Willis,6.7,6.7,,0.0,0.0
Dave Wilson,,,,0.0,0.0
Dave Wirth,6.3,6.3,,0.0,0.0
Dave Wiskus,7.949999999999999,8.1,0.21213203435596445,0.0,0.0
Dave Witt,4.6,4.6,,0.0,0.0
Dave Wooley,,,,0.0,0.0
Dave Wowchuk,,,,0.0,0.0
Dave Yasuda,5.5,5.5,,0.0,0.0
Dave York,4.2,4.2,,0.0,0.0
Daved Wilkins,6.5,6.5,,0.0,0.0
Daveed Diggs,7.4,7.4,,0.0,0.0
Daven Baptiste,3.2,3.2,,0.0,0.0
Daven Raghavan,2.4,2.4,,0.0,0.0
Daves Guzha,,,,0.0,0.0
Davey Frankel,6.7,6.7,0.0,0.0,0.0
Davey Morrison,,,,0.0,0.0
Davey Porter,7.3,9.6,3.2526911934581184,0.0,0.0
Davey Robertson,6.5,6.5,,0.0,0.0
Davey Schaupp,,,,0.0,0.0
Davi Freitas,,,,0.0,0.0
Davi Santos,,,,0.0,0.0
Davi Silveira,,,,0.0,0.0
Davi Vega,,,,0.0,0.0
Davi de Oliveira Pinheiro,6.933333333333334,8.8,1.6095548038717622,0.0,0.0
David 'Doc' Bennett,7.2,7.2,,0.0,0.0
David 'Kane' Garcia,5.3999999999999995,6.0,0.5567764362830024,0.0,0.0
David A Haines,6.2,6.5,0.4242640687119283,0.0,0.0
David A Harris,,,,0.0,0.0
David A Vine,,,,0.0,0.0
David A. Adams,,,,0.0,0.0
David A. Armstrong,4.9,5.0,0.1414213562373093,0.0,0.0
David A. Bradley,,,,0.0,0.0
David A. Bynum,9.2,9.2,,0.0,0.0
David A. Cole,7.5,7.5,,0.0,0.0
David A. Cross,5.1000000000000005,6.8,1.4798648586948742,0.0,0.0
David A. Davies,4.8,4.8,,0.0,0.0
David A. Feingold,8.2,8.2,,0.0,0.0
David A. Fischette,7.6,7.6,,0.0,0.0
David A. Fisher,4.5,4.5,,0.0,0.0
David A. Gluck,,,,0.0,0.0
David A. Goldberg,2.8,2.8,,0.0,0.0
David A. Goodman,,,,0.0,0.0
David A. Hall,4.0,4.0,,0.0,0.0
David A. Heath,8.5,8.5,,0.0,0.0
David A. Holcombe,4.9,4.9,,0.0,0.0
David A. Hughes,5.366666666666667,6.0,0.850490054811538,0.0,0.0
David A. Jackson,4.666666666666667,5.4,0.6350852961085885,0.0,0.0
David A. Jones,4.3,4.3,,0.0,0.0
David A. Kramer,7.2,7.2,,0.0,0.0
David A. Lockhart,3.8000000000000003,5.0,1.1532562594670794,0.0,0.0
David A. Lopez,,,,0.0,0.0
David A. Melendez,8.7,8.7,,0.0,0.0
David A. Navarro,3.4,3.4,,0.0,0.0
David A. Oglesby,,,,0.0,0.0
David A. Ponce de Leon,4.9,4.9,,0.0,0.0
David A. Prior,3.25,4.1,0.6855654600401042,0.0,0.0
David A. Roberts,,,,0.0,0.0
David A. Romeo,,,,0.0,0.0
David A. Ross,5.3,5.3,,0.0,0.0
David A. Sarich,8.6,8.6,,0.0,0.0
David A. Smith,5.15,5.6,0.6363961030678927,0.0,0.0
David A. Stewart,7.4,7.4,,0.0,0.0
David A. Vargas,6.1,6.1,,0.0,0.0
David A. Wagner,4.0,4.0,,0.0,0.0
David A. Weiner,,,,0.0,0.0
David A. Welch,7.0,7.0,,0.0,0.0
David A.R. White,5.039285714285714,6.8,0.9015785685917315,0.0,0.0
David Aaron Stone,7.2,7.2,,0.0,0.0
David Abel,6.5,6.9,0.5656854249492386,0.0,0.0
David Aboucaya,4.8999999999999995,6.0,1.053565375285274,0.0,0.0
David Aboussafy,4.7,6.2,1.174734012447073,0.0,0.0
David Abrahmov,,,,0.0,0.0
David Abramowitz,5.4,5.4,,0.0,0.0
David Abrams,5.1,5.1,,0.0,0.0
David Abramsky,,,,0.0,0.0
David Abravanel Stein,6.7,7.9,1.8348478592697182,0.0,0.0
David Achatz,,,,0.0,0.0
David Acosta Ryan,,,,0.0,0.0
David Acuff,5.9,5.9,,0.0,0.0
David Adam Smith,5.3,5.3,,0.0,0.0
David Adams,7.1,7.1,,0.0,0.0
David Adebola,,,,0.0,0.0
David Adkin,3.8,3.8,,0.0,0.0
David Adrian McQueen,8.7,8.7,,0.0,0.0
David Agiashvili,6.4,6.4,,0.0,0.0
David Aguilera,4.6,4.6,,0.0,0.0
David Air,7.6,7.6,,0.0,0.0
David Airob,,,,0.0,0.0
David Alamouti,8.85,9.1,0.3535533905932738,0.0,0.0
David Alan Basche,5.1,5.1,,0.0,0.0
David Alan Ruben,,,,0.0,0.0
David Alaux,,,,0.0,0.0
David Albala,7.0,7.0,,0.0,0.0
David Albert Habif,9.0,9.0,,0.0,0.0
David Albin,,,,0.0,0.0
David Alexander,4.7,4.7,,0.0,0.0
David Alexander Willis,5.9,5.9,,0.0,0.0
David Alexanian,6.85,7.3,0.6363961030678927,0.0,0.0
David Alfaro,8.8,8.8,,0.0,0.0
David Alford,6.0,6.0,,0.0,0.0
David Allen,7.7,8.0,0.4242640687119283,0.0,0.0
David Allen Cluck,5.3,6.4,1.5716233645501714,0.0,0.0
David Allen Cress,6.5200000000000005,7.9,0.8584870412533903,0.0,0.0
David Allen Greene,7.6,7.6,,0.0,0.0
David Allen Jones,4.1,4.1,,0.0,0.0
David Allensworth,4.3,4.3,,0.0,0.0
David Alonso Garavito,6.1,6.1,,0.0,0.0
David Alpert,5.5,7.2,1.206233808181482,0.0,0.0
David Alrich,,,,0.0,0.0
David Altman,,,,0.0,0.0
David Altrogge,7.2,7.2,,0.0,0.0
David Alvarado,6.866666666666667,7.5,0.602771377334171,0.0,0.0
David Ambrose,6.7,6.7,,0.0,0.0
David Ambuel,9.5,9.5,,0.0,0.0
David Amiri,5.1,5.1,,0.0,0.0
David Amito,4.9,4.9,,0.0,0.0
David Amos,4.2,4.2,,0.0,0.0
David Amsalem,6.9,6.9,,0.0,0.0
David Andalman,4.6,4.6,,0.0,0.0
David Anderson,5.35,6.5,1.6263455967290594,0.0,0.0
David Andersson,,,,0.0,0.0
David Andrew James,,,,0.0,0.0
David Andriesen,7.7,7.7,,0.0,0.0
David Andriole,4.699999999999999,5.1,0.5656854249492376,0.0,0.0
David Angel Harris,7.2,7.2,,0.0,0.0
David Angelski,4.4,4.4,,0.0,0.0
David Angelus,7.0,7.0,,0.0,0.0
David Anghel,,,,0.0,0.0
David Anselmo,5.550000000000001,5.9,0.44347115652166913,0.0,0.0
David Anthony Wilson III,,,,0.0,0.0
David Antonelli,8.7,8.7,,0.0,0.0
David Antonio Alvarado,9.3,9.3,,0.0,0.0
David Antoniuk,,,,0.0,0.0
David Aponte,6.8,6.8,,0.0,0.0
David Appleby,7.2,8.5,1.6093476939431077,0.0,0.0
David Appleton,4.0,4.0,,0.0,0.0
David Aranovich,4.4,4.4,,0.0,0.0
David Ariniello,6.1,6.1,,0.0,0.0
David Armati Lechner,6.35,6.4,0.07071067811865545,0.0,0.0
David Armstrong,7.4,7.4,,0.0,0.0
David Arond,7.7,7.7,,0.0,0.0
David Aronowitsch,6.366666666666667,7.3,1.0066445913694335,0.0,0.0
David Arquette,5.875,7.1,0.8958236433584457,0.0,0.0
David Arratibel,6.9,6.9,,0.0,0.0
David Asare Masterwille,,,,0.0,0.0
David Ashe,6.1,6.1,,0.0,0.0
David Asher Goldenberg,,,,0.0,0.0
David Aslan,8.1,8.1,,0.0,0.0
David Asmussen,7.2,7.2,,0.0,0.0
David Atrakchi,5.35,7.1,2.474873734152916,0.0,0.0
David Au,6.449999999999999,6.8,0.49497474683058307,0.0,0.0
David Aubin,5.9,5.9,,0.0,0.0
David Auerbach,,,,0.0,0.0
David Aufdembrinke,7.4,7.4,,0.0,0.0
David Aukin,6.050000000000001,6.2,0.2121320343559638,0.0,0.0
David Auster,7.4,7.4,,0.0,0.0
David Austin,7.566666666666667,8.8,1.8009256878986801,0.0,0.0
David Avallone,5.15,5.5,0.49497474683058373,0.0,0.0
David Avraham,5.8,5.8,,0.0,0.0
David Axe,3.95,5.5,1.2124355652982142,0.0,0.0
David Axelrod,5.300000000000001,5.7,0.5656854249492382,0.0,0.0
David Ayer,6.483333333333333,7.6,1.0722251007445527,0.0,0.0
David B. Craig,3.65,4.6,1.3435028842544399,0.0,0.0
David B. Craik,,,,0.0,0.0
David B. Dueck,7.9,7.9,,0.0,0.0
David B. Edwards,6.7,6.7,,0.0,0.0
David B. Graham,,,,0.0,0.0
David B. Grelck,6.366666666666667,6.7,0.3511884584284246,0.0,0.0
David B. Householter,5.766666666666667,6.4,0.6027713773341713,0.0,0.0
David B. Kravis,3.2,3.2,,0.0,0.0
David B. Marshall,8.05,8.1,0.07071067811865388,0.0,0.0
David B. Martin,6.7,6.7,,0.0,0.0
David B. Miller,5.4,6.0,0.8485281374238568,0.0,0.0
David B. Parker,6.699999999999999,7.8,1.555634918610405,0.0,0.0
David B. Ricard,,,,0.0,0.0
David B. Sharp,4.5,4.5,,0.0,0.0
David B. Smith,,,,0.0,0.0
David B. Stevens,3.4,3.4,,0.0,0.0
David B. Sørensen,6.625,7.4,0.7182153808805082,0.0,0.0
David B. Tanner,,,,0.0,0.0
David Baboulene,,,,0.0,0.0
David Bachmeier,3.3,3.3,,0.0,0.0
David Baddiel,6.3,6.3,,0.0,0.0
David Bairstow,,,,0.0,0.0
David Bajurny,6.3,6.3,,0.0,0.0
David Bakalar,6.1,6.1,,0.0,0.0
David Baker,6.766666666666667,7.7,1.3650396819628843,0.0,0.0
David Balcon,,,,0.0,0.0
David Baldacci,6.7,6.7,,0.0,0.0
David Ball,5.0600000000000005,7.0,1.2660963628413124,0.0,0.0
David Banji,,,,0.0,0.0
David Banner,6.133333333333333,6.5,0.472581562625261,0.0,0.0
David Barba,7.766666666666667,8.5,0.945163125250522,0.0,0.0
David Barber,6.4,6.4,,0.0,0.0
David Bark Jones,4.9,4.9,,0.0,0.0
David Barker,5.75,6.9,1.6263455967290599,0.0,0.0
David Barnes,,,,0.0,0.0
David Barnett,5.3,5.3,,0.0,0.0
David Barnhart,7.4,7.4,,0.0,0.0
David Barrera,6.3,6.3,,0.0,0.0
David Barrett,4.8,4.8,,0.0,0.0
David Barron,6.835714285714286,8.1,0.7530523966417687,0.0,0.0
David Barroso,5.9,5.9,,0.0,0.0
David Barrow,,,,0.0,0.0
David Barry,7.6000000000000005,9.3,2.4041630560342617,0.0,0.0
David Bartis,6.65,7.1,0.6363961030678921,0.0,0.0
David Bartlett,7.95,9.5,2.192031021678297,0.0,0.0
David Basulto,4.75,4.9,0.23804761428476168,0.0,0.0
David Bates,2.7,2.7,,0.0,0.0
David Battistella,,,,0.0,0.0
David Baughn,4.5,4.8,0.4242640687119283,0.0,0.0
David Baumgarten,6.4,6.4,,0.0,0.0
David Bausch,5.25,5.7,0.636396103067893,0.0,0.0
David Baute,,,,0.0,0.0
David Baxter,7.8,7.8,,0.0,0.0
David Beal,,,,0.0,0.0
David Beaubaire,,,,0.0,0.0
David Beaumont,3.4,3.4,,0.0,0.0
David Becker,7.449999999999999,7.6,0.2121320343559638,0.0,0.0
David Bee,,,,0.0,0.0
David Beeler,4.4,4.4,,0.0,0.0
David Beeson,,,,0.0,0.0
David Beffa-Negrini,6.0,6.0,,0.0,0.0
David Beilinson,7.475,8.3,0.5678908345800276,0.0,0.0
David Bellarosa,9.1,9.1,,0.0,0.0
David Belle,,,,0.0,0.0
David Bellingham,,,,0.0,0.0
David Belton,7.6,7.6,,0.0,0.0
David Ben Ari,7.6,7.6,0.0,0.0,0.0
David Ben Zino,,,,0.0,0.0
David Benade,8.1,8.1,,0.0,0.0
David Benavente,,,,0.0,0.0
David Benchetrit,,,,0.0,0.0
David Bengtsson,7.0,7.0,,0.0,0.0
David Bennett,4.65,4.9,0.3535533905932738,0.0,0.0
David Bensusan,,,,0.0,0.0
David Berdah,6.7,6.7,,0.0,0.0
David Berger,8.4,8.4,,0.0,0.0
David Bergman,7.4,7.4,,0.0,0.0
David Bergstein,5.814285714285715,6.5,0.4670066788550653,0.0,0.0
David Bermudez,,,,0.0,0.0
David Bernabo,,,,0.0,0.0
David Bernad,5.55,6.5,0.6855654600401044,0.0,0.0
David Bernardi,6.6,6.6,,0.0,0.0
David Bernet,,,,0.0,0.0
David Bernon,4.8,4.8,,0.0,0.0
David Berraondo,,,,0.0,0.0
David Berry,6.0,6.0,,0.0,0.0
David Bert Joris Dhert,,,,0.0,0.0
David Bertelsen,6.0,6.0,,0.0,0.0
David Betances,4.3,4.3,,0.0,0.0
David Bethancourt,6.5,6.5,,0.0,0.0
David Beton,5.75,5.9,0.21213203435596475,0.0,0.0
David Bettencourt,8.3,8.3,,0.0,0.0
David Bianchi,4.666666666666667,7.1,2.3115651263447745,0.0,0.0
David Bickerstaff,,,,0.0,0.0
David Biggins,7.6,7.6,,0.0,0.0
David Bigiaoui,6.050000000000001,6.2,0.2121320343559638,0.0,0.0
David Bilcock Sr.,6.1,6.1,,0.0,0.0
David Binder,7.7,7.7,,0.0,0.0
David Birtwell,8.8,8.8,,0.0,0.0
David Bishop,1.9,1.9,,0.0,0.0
David Bispham,5.0,5.0,,0.0,0.0
David Bitton,,,,0.0,0.0
David Bixler,5.1499999999999995,6.2,0.9934787365615836,0.0,0.0
David Black,,,,0.0,0.0
David Blackman,5.7,5.7,,0.0,0.0
David Blain,8.8,8.8,,0.0,0.0
David Blair,5.5,6.9,1.4445299120013637,0.0,0.0
David Blake Knox,,,,0.0,0.0
David Blanc,,,,0.0,0.0
David Blanchard,,,,0.0,0.0
David Blanco,6.3,6.3,,0.0,0.0
David Blane,4.5,4.5,,0.0,0.0
David Blangsted,5.3,5.3,,0.0,0.0
David Blau,6.9,6.9,,0.0,0.0
David Blaustein,6.949999999999999,7.3,0.49497474683058307,0.0,0.0
David Bleiman Ichioka,7.15,7.5,0.49497474683058307,0.0,0.0
David Blitz,,,,0.0,0.0
David Blocker,6.253846153846154,7.4,0.7378068679261359,0.0,0.0
David Blue,8.4,8.4,,0.0,0.0
David Blue Garcia,5.9,5.9,,0.0,0.0
David Blumenfeld,7.8,7.8,,0.0,0.0
David Blyth,5.3,5.3,,0.0,0.0
David Blümel,4.75,5.0,0.3535533905932738,0.0,0.0
David Boaretto,9.4,9.4,,0.0,0.0
David Boatman,,,,0.0,0.0
David Bohun,6.666666666666667,7.9,1.2503332889007368,0.0,0.0
David Bohórquez,,,,0.0,0.0
David Boies,,,,0.0,0.0
David Boies III,6.3,6.3,,0.0,0.0
David Bolt,5.6,5.6,,0.0,0.0
David Bombai,,,,0.0,0.0
David Bombyk,6.366666666666667,7.2,0.8504900548115384,0.0,0.0
David Bond,4.3,4.3,,0.0,0.0
David Boone,6.0,6.0,,0.0,0.0
David Boone Wilson,7.4,7.4,,0.0,0.0
David Boorboor,2.9,2.9,,0.0,0.0
David Borgeaud,,,,0.0,0.0
David Borgenicht,,,,0.0,0.0
David Bornstein,6.4,6.4,,0.0,0.0
David Borowicz,1.7,1.7,,0.0,0.0
David Borter,,,,0.0,0.0
David Bossie,3.8833333333333333,7.2,1.7769824609901659,0.0,0.0
David Botchey,7.2,7.2,,0.0,0.0
David Bouchard,,,,0.0,0.0
David Bouck,6.55,7.0,0.636396103067893,0.0,0.0
David Boul,,,,0.0,0.0
David Boulton,4.833333333333333,6.6,1.594783161854091,0.0,0.0
David Bouthillier,,,,0.0,0.0
David Bowen,7.4,7.4,,0.0,0.0
David Boyles,5.8,5.8,,0.0,0.0
David Brabow,,,,0.0,0.0
David Bradberry,4.5,4.5,,0.0,0.0
David Bradburn,9.2,9.2,,0.0,0.0
David Bradbury,7.314285714285715,8.4,0.7081162132224986,0.0,0.0
David Bradshaw,,,,0.0,0.0
David Brady,5.0,6.0,1.4142135623730951,0.0,0.0
David Brand,7.2,7.2,,0.0,0.0
David Brandes,7.4,7.4,,0.0,0.0
David Branin,8.3,8.3,,0.0,0.0
David Brashear,6.3,6.3,,0.0,0.0
David Bratton,8.6,8.6,,0.0,0.0
David Braun,6.1,6.8,0.9899494936611658,0.0,0.0
David Brauneis,,,,0.0,0.0
David Bravo,7.9,8.0,0.14142135623730995,0.0,0.0
David Bravou,,,,0.0,0.0
David Breashears,7.9,7.9,,0.0,0.0
David Brecha,4.8,4.8,,0.0,0.0
David Brechin-Smith,7.0,7.0,,0.0,0.0
David Breschel,5.6,5.6,,0.0,0.0
David Bresenham,4.6,4.6,,0.0,0.0
David Brice,6.0,6.0,,0.0,0.0
David Briner,,,,0.0,0.0
David Brisbin,,,,0.0,0.0
David Broadnax,3.3,3.3,,0.0,0.0
David Brockman,5.5,5.5,,0.0,0.0
David Brockway,,,,0.0,0.0
David Broder,6.35,6.9,0.777817459305203,0.0,0.0
David Brokhim,,,,0.0,0.0
David Brooks,5.74,8.5,1.2920268315067351,0.0,0.0
David Brookwell,5.6,7.2,1.2153776602944688,0.0,0.0
David Broome,,,,0.0,0.0
David Brothers,,,,0.0,0.0
David Broughton,,,,0.0,0.0
David Brower,,,,0.0,0.0
David Brown,6.456521739130435,8.1,0.8250763529166815,0.0,0.0
David Brownstein,2.8,2.8,,0.0,0.0
David Bruce Keene,,,,0.0,0.0
David Bruckner,,,,0.0,0.0
David Brustlin,5.5,5.5,,0.0,0.0
David Bryant,4.866666666666666,6.1,1.3650396819628845,0.0,0.0
David Brych,8.0,8.0,,0.0,0.0
David Brückner,4.466666666666667,7.2,2.369247419188915,0.0,0.0
David Buanno,4.6,4.6,,0.0,0.0
David Buchert,4.4,4.4,,0.0,0.0
David Buckland,6.3,6.3,,0.0,0.0
David Buckley,5.65,5.7,0.07071067811865482,0.0,0.0
David Buelow,5.925,7.6,1.364734406395618,0.0,0.0
David Buitrón Fernández,,,,0.0,0.0
David Bukstein,5.2,5.2,,0.0,0.0
David Burden,8.1,8.1,,0.0,0.0
David Burke,7.0,7.0,,0.0,0.0
David Burkman,5.8,5.8,,0.0,0.0
David Burl Jr.,,,,0.0,0.0
David Burney,,,,0.0,0.0
David Burns,6.2,6.5,0.4242640687119283,0.0,0.0
