primaryName,productor_score_mean,productor_score_max,productor_score_std,productor_ganador_oscar_prom,productor_nominado_oscar_prom
A. Ter-Zakaryan,7.9,7.9,,0.0,0.0
A. Thanusia,,,,0.0,0.0
A. Todd Smith,6.4,6.4,,0.0,0.0
A. Ty Risby,7.0,7.0,,0.0,0.0
A. Uygur Ozturk,6.5,6.5,,0.0,0.0
A. Vaianos,4.45,5.4,0.9327379053088816,0.0,0.0
A. Veerappan,5.800000000000001,6.2,0.5656854249492382,0.0,0.0
A. Venkatrama Reddy,5.6,5.6,,0.0,0.0
A. Vinod,8.5,8.5,,0.0,0.0
A. Wade Miller,3.275,4.3,0.9215023964519389,0.0,0.0
A. Wahab Khan,5.8,5.8,,0.0,0.0
A.A. Jalal,2.3,2.3,,0.0,0.0
A.A. Junaideen,,,,0.0,0.0
A.A. Kareem,,,,0.0,0.0
A.A. Miller,,,,0.0,0.0
A.A. Nadiadwala,6.25,7.1,0.6980130530457307,0.0,0.0
A.A. Yasiin,,,,0.0,0.0
A.B. Butler,,,,0.0,0.0
A.B. Hawkins,,,,0.0,0.0
A.B. Iwan Aziz,,,,0.0,0.0
A.B. Raj,5.066666666666666,5.5,0.5859465277082316,0.0,0.0
A.B. Zax,,,,0.0,0.0
A.C. Anandan,4.7,4.7,,0.0,0.0
A.C. Bryan,,,,0.0,0.0
A.C. Lyles,5.541176470588235,7.0,0.6011019293029805,0.0,0.0
A.C. Narasimhamurthy,9.0,9.0,,0.0,0.0
A.C. Pillai,9.1,9.1,,0.0,0.0
A.C. Prosonarte,,,,0.0,0.0
A.C. Raele,6.8,6.8,,0.0,0.0
A.C. Shanmugam,,,,0.0,0.0
A.C. Trilogchander,5.0,5.0,,0.0,0.0
A.D. Calvo,4.916666666666667,6.1,0.8328665359267753,0.0,0.0
A.D. Freese,6.5,6.5,,0.0,0.0
A.D. Jain,,,,0.0,0.0
A.D. Liano,6.0,6.4,0.5656854249492386,0.0,0.0
A.D. Oppenheim,5.4,5.4,,0.0,0.0
A.D. Pearson,,,,0.0,0.0
A.D. Sreekumar,7.4,7.4,,0.0,0.0
A.G. Melkom,,,,0.0,0.0
A.G. Nadiadwala,6.625,8.2,1.7613914953808536,0.0,0.0
A.G. Panousopoulou,6.2,6.2,,0.0,0.0
A.G. Vermouth,7.4,7.4,,0.0,0.0
A.Hassan Keivan,,,,0.0,0.0
A.J. Ali,9.2,9.2,,0.0,0.0
A.J. Bond,5.4,5.4,,0.0,0.0
A.J. Brato,5.1,5.1,,0.0,0.0
A.J. Buckley,5.5,5.5,,0.0,0.0
A.J. Calomay,7.8,7.8,,0.0,0.0
A.J. Cast,6.1,6.1,,0.0,0.0
A.J. Castaldi,9.0,9.0,,0.0,0.0
A.J. Ciccotelli,6.0,6.0,,0.0,0.0
A.J. D'Agostino,6.9,6.9,,0.0,0.0
A.J. Del Cueto,6.449999999999999,6.8,0.49497474683058373,0.0,0.0
A.J. Derosa,,,,0.0,0.0
A.J. Dickerson,8.2,8.2,,0.0,0.0
A.J. Dirty Stein,,,,0.0,0.0
A.J. Dix,6.3,7.6,0.7151423434733616,0.0,0.0
A.J. Draven,2.8000000000000003,3.0,0.20000000000000007,0.0,0.0
A.J. Edwards,,,,0.0,0.0
A.J. ElGammal,,,,0.0,0.0
A.J. Epstein,6.3,6.3,,0.0,0.0
A.J. Goodrich,,,,0.0,0.0
A.J. Gordon,4.25,5.4,1.1030261405182868,0.0,0.0
A.J. Gribble,7.2,7.2,,0.0,0.0
A.J. Gullett,,,,0.0,0.0
A.J. Gutierrez,,,,0.0,0.0
A.J. Helgeson,,,,0.0,0.0
A.J. Hochhalter,7.5,7.5,,0.0,0.0
A.J. Hordijk,3.6,3.6,,0.0,0.0
A.J. Johnson,4.2,4.2,,0.0,0.0
A.J. Johnston,7.6,7.6,,0.0,0.0
A.J. Kardar,2.8,2.8,,0.0,0.0
A.J. Kelly,,,,0.0,0.0
A.J. Khan,6.7,6.7,,0.0,0.0
A.J. Klassen,4.550000000000001,4.7,0.21213203435596445,0.0,0.0
A.J. Leon,,,,0.0,0.0
A.J. Leslie,1.6,1.6,,0.0,0.0
A.J. Martinson,4.5,4.5,,0.0,0.0
A.J. Mattioli,7.08,9.5,2.249888886145269,0.0,0.0
A.J. Oetman,,,,0.0,0.0
A.J. Pavel,6.7,6.7,,0.0,0.0
A.J. Peralta,5.4,5.4,,0.0,0.0
A.J. Pfeifer,8.3,8.3,,0.0,0.0
A.J. Pierce,,,,0.0,0.0
A.J. Raitano,5.3,5.3,,0.0,0.0
A.J. Rose,,,,0.0,0.0
A.J. Shah,4.1,4.1,,0.0,0.0
A.J. Tesler,,,,0.0,0.0
A.J. Vargas,,,,0.0,0.0
A.J. Wone,8.3,8.3,,0.0,0.0
A.J.V. Prasad,7.0,7.0,,0.0,0.0
A.K. Abdul,4.6,4.6,,0.0,0.0
A.K. Banerjee,7.8,7.8,,0.0,0.0
A.K. Gupta,7.1,7.1,,0.0,0.0
A.K. Lohithadas,6.8,6.8,,0.0,0.0
A.K. Mishra,3.1,3.1,,0.0,0.0
A.K. Misra,6.1,6.1,,0.0,0.0
A.K. Moore,6.2,6.2,,0.0,0.0
A.K. Nadiadwala,6.522222222222222,7.7,0.987139526330723,0.0,0.0
A.K. Rastogi,,,,0.0,0.0
A.K. Sohel,,,,0.0,0.0
A.K. Strom,3.5,4.0,0.7071067811865476,0.0,0.0
A.K. Sunil,6.949999999999999,7.1,0.2121320343559638,0.0,0.0
A.K. Velan,7.9,7.9,,0.0,0.0
A.K. Waters,4.1,4.1,,0.0,0.0
A.K.M. Arifur Rahman,7.9,7.9,,0.0,0.0
A.K.M. Jahangir Khan,6.675,7.5,0.917877987534291,0.0,0.0
A.K.M. Moazzem Hossain,7.5,7.5,,0.0,0.0
A.K.S. Nambiar,8.5,8.5,,0.0,0.0
A.L. Abbaiah Naidu,8.1,8.7,0.8485281374238566,0.0,0.0
A.L. Alagappan,6.9,6.9,0.0,0.0,0.0
A.L. Azhagappan,,,,0.0,0.0
A.L. Sreenivasan,7.8,8.9,1.5716233645501714,0.0,0.0
A.L. Tyra,,,,0.0,0.0
A.L. Vijay,7.050000000000001,7.2,0.2121320343559638,0.0,0.0
A.M. Charles,,,,0.0,0.0
A.M. Greene,6.5,7.1,0.8485281374238566,0.0,0.0
A.M. Hunter,3.75,4.3,0.7778174593052021,0.0,0.0
A.M. León Suárez,3.4,3.4,,0.0,0.0
A.M. Lukas,6.05,7.0,1.3435028842544405,0.0,0.0
A.M. Peters,,,,0.0,0.0
A.M. Rathnam,6.712000000000001,8.4,1.3345785851721135,0.0,0.0
A.M. Samiulla,8.2,9.1,1.2727922061357857,0.0,0.0
A.M. Sampath Kumar,,,,0.0,0.0
A.M. Sannazzaro,7.3,7.3,,0.0,0.0
A.M. Umesh Reddy,3.0,3.0,,0.0,0.0
A.M.R. Ramesh,6.35,7.0,0.9192388155425113,0.0,0.0
A.N. Murthy,8.7,8.7,,0.0,0.0
A.P. Chinnappan,6.3,6.3,,0.0,0.0
A.P. Cope,,,,0.0,0.0
A.P. Gonzalez,5.9,5.9,,0.0,0.0
A.P. Nagarajan,7.6,7.6,,0.0,0.0
A.P. Parigi,4.0,5.9,2.687005768508881,0.0,0.0
A.P. Radhakrishna,,,,0.0,0.0
A.P. Radhakrishnan Thechiyad,,,,0.0,0.0
A.Piyush Shah,,,,0.0,0.0
A.R. Brook Lynn,8.3,8.3,,0.0,0.0
A.R. Chapman,3.8,3.8,,0.0,0.0
A.R. Ervolino,,,,0.0,0.0
A.R. Jaffer Saddiq,,,,0.0,0.0
A.R. Kannappan Chettiar,5.6,5.6,,0.0,0.0
A.R. Khan,5.8,5.8,,0.0,0.0
A.R. Mackenzie,5.9,5.9,,0.0,0.0
A.R. Milton,5.3,5.3,,0.0,0.0
A.R. Murugadoss,6.428571428571429,7.8,1.0719363875937875,0.0,0.0
A.R. Rahman,6.5,6.5,,0.0,0.0
A.R. Raju,6.95,7.9,1.3435028842544405,0.0,0.0
