primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
Aada Punakivi,,,,0.0,0.0
Aadeh Miraei Mirzaei,,,,0.0,0.0
Aadhira,,,,0.0,0.0
Aadhira Pandilakshmi,6.066666666666666,7.9,1.7177504669382764,0.0,0.0
Aadhya Aaradhana,4.9,4.9,,0.0,0.0
Aadhya Anand,,,,0.0,0.0
Aadhya Arya,,,,0.0,0.0
Aadila Dosani,6.2,7.3,0.7516648189186452,0.0,0.0
Aadita Jain,,,,0.0,0.0
Aaditrie Dipika,6.8,6.8,,0.0,0.0
Aadya Bedi,6.1,6.1,,0.0,0.0
Aadya Prasad,,,,0.0,0.0
Aafke Buringh,6.6,6.9,0.4242640687119292,0.0,0.0
Aafreen Vaz,,,,0.0,0.0
Aagje Dolhain,,,,0.0,0.0
Aagje Dom,,,,0.0,0.0
Aagot Børseth,6.2,6.2,,0.0,0.0
Aagot Støkken,,,,0.0,0.0
Aahana Kumra,6.2625,8.8,1.5555775225206325,0.0,0.0
Aahem K. Aujla,7.9,7.9,,0.0,0.0
Aaina,6.6,6.6,,0.0,0.0
Aaisha El Akal,6.6,6.6,,0.0,0.0
Aajonae Jones,,,,0.0,0.0
Aakanksha,,,,0.0,0.0
Aakanksha Mansukhani,8.6,8.6,,0.0,0.0
Aakanksha Panchal,,,,0.0,0.0
Aakanksha Sakharkar,,,,0.0,0.0
Aakanksha Sareen,6.3,7.8,2.1213203435596424,0.0,0.0
Aakanksha Singh,6.833333333333333,7.8,0.850490054811538,0.0,0.0
Aakansha,,,,0.0,0.0
Aakansha Kadre,6.9,6.9,,0.0,0.0
Aakanssha Marwaha,,,,0.0,0.0
Aakarsha,,,,0.0,0.0
Aakarshika,6.9,6.9,,0.0,0.0
Aakii,,,,0.0,0.0
Aakisha Bista,,,,0.0,0.0
Aakriti Agarawal,,,,0.0,0.0
Aakriti Bharti,,,,0.0,0.0
Aakriti Dobhal,7.7,7.7,,0.0,0.0
Aakrshita Raghuvanshi,,,,0.0,0.0
Aakshi Khari,7.7,7.7,,0.0,0.0
Aalam,6.4,6.8,0.5656854249492382,0.0,0.0
Aalaya Manasa,4.7,4.7,,0.0,0.0
Aalayah Eastmond,6.4,6.4,,0.0,0.0
Aalayna Lys,6.3,6.3,,0.0,0.0
Aaleyah Abron,,,,0.0,0.0
Aaleyah Marie,,,,0.0,0.0
Aalia,6.1,6.1,,0.0,0.0
Aalia Oursbourn,,,,0.0,0.0
Aaliya,6.9799999999999995,8.2,0.9909591313469994,0.0,0.0
Aaliya Shumpert,6.4,6.4,,0.0,0.0
Aaliya Siddiqui,,,,0.0,0.0
Aaliya Willis,,,,0.0,0.0
Aaliyah,5.166666666666667,6.1,1.006644591369433,0.0,0.0
Aaliyah Abdulmoneim,6.223076923076923,8.2,1.26632923980683,0.0,0.0
Aaliyah Adams-Willy,,,,0.0,0.0
Aaliyah Ali,5.666666666666667,7.4,1.750238079043344,0.0,0.0
Aaliyah Anderson,,,,0.0,0.0
Aaliyah Austin,,,,0.0,0.0
Aaliyah Belmoro,5.8,5.8,,0.0,0.0
Aaliyah Calloway,,,,0.0,0.0
Aaliyah Ford,,,,0.0,0.0
Aaliyah Lexilus,,,,0.0,0.0
Aaliyah Lopez,4.9,4.9,,0.0,0.0
Aaliyah Madyun,5.633333333333333,6.1,0.6429100507328634,0.0,0.0
Aaliyah Marciano,,,,0.0,0.0
Aaliyah Massaid,,,,0.0,0.0
Aaliyah McGuire,5.5,5.5,,0.0,0.0
Aaliyah Muhammad,4.949999999999999,5.6,0.9192388155425113,0.0,0.0
Aaliyah Nantabaazi,,,,0.0,0.0
Aaliyah Paul,7.0,7.0,,0.0,0.0
Aaliyah Reign,8.4,8.4,,0.0,0.0
Aaliyah_Mason,,,,0.0,0.0
Aaliythea Pitts,8.0,8.0,,0.0,0.0
Aalma Duran,4.5,4.5,,0.0,0.0
Aaloka,6.25,7.9,2.333452377915607,0.0,0.0
Aalyrah Caldwell,5.3,5.3,,0.0,0.0
Aamani,6.5476190476190474,8.6,1.2404108382383021,0.0,0.0
Aamaria Kameche,7.1,7.1,,0.0,0.0
Aami Thasnim,,,,0.0,0.0
Aamina Larsson,,,,0.0,0.0
