primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
Angelique Chase,7.2,7.2,,0.0,0.0
Angelique Cinelu,6.2,6.2,,0.0,0.0
Angelique Congleton,2.9,2.9,,0.0,0.0
Angelique De Windt,4.3,4.3,,0.0,0.0
Angelique Dorrestijn,6.2,6.2,,0.0,0.0
Angelique Dos Santos,,,,0.0,0.0
Angelique Fernandez,6.2,6.2,,0.0,0.0
Angelique Foica,8.4,8.4,,0.0,0.0
Angelique Friant,,,,0.0,0.0
Angelique Gerber,7.033333333333334,7.1,0.05773502691896237,0.0,0.0
Angelique Hennessy,4.1,4.1,,0.0,0.0
Angelique Hicke,4.7,4.7,,0.0,0.0
Angelique Incherica,,,,0.0,0.0
Angelique Jackson,5.0,5.0,,0.0,0.0
Angelique Jespan,8.1,8.1,,0.0,0.0
Angelique Joan,3.6,3.6,,0.0,0.0
Angelique Kenney,5.0,5.0,,0.0,0.0
Angelique LeBlanc,6.2,6.2,,0.0,0.0
Angelique Lettich,3.6,3.6,,0.0,0.0
Angelique Little,4.7,4.7,,0.0,0.0
Angelique Maurnae,4.8,6.2,1.2489995996796797,0.0,0.0
Angelique Mbumb,6.1,6.1,,0.0,0.0
Angelique Mendes,,,,0.0,0.0
Angelique Midthunder,5.3,5.3,,0.0,0.0
Angelique Molina,,,,0.0,0.0
Angelique Nguyen,4.7,4.7,,0.0,0.0
Angelique Nocentini,6.4,6.4,,0.0,0.0
Angelique Osborne,,,,0.0,0.0
Angelique Papadelias,7.2,7.2,,0.0,0.0
Angelique Pereira,4.4,4.4,,0.0,0.0
Angelique Perrin,4.6,4.6,,0.0,0.0
Angelique Pettyjohn,4.6454545454545455,6.1,0.9363371576132568,0.0,0.0
Angelique Pretorius,6.36,7.4,0.74027022093287,0.0,0.0
Angelique Restivo,4.7,4.7,,0.0,0.0
Angelique Richards,,,,0.0,0.0
Angelique Rivera,5.15,5.2,0.07071067811865482,0.0,0.0
Angelique Robinson,7.9,7.9,,0.0,0.0
Angelique Sabrina White,5.55,6.1,0.7778174593052021,0.0,0.0
Angelique Scarpelli,4.4,4.4,,0.0,0.0
Angelique Sky,3.2,3.2,,0.0,0.0
Angelique Smith,7.3,7.3,,0.0,0.0
Angelique Todesco,,,,0.0,0.0
Angelique Valentine,,,,0.0,0.0
Angelique Velazquez,,,,0.0,0.0
Angelique Velez,5.4,5.4,,0.0,0.0
Angelique de Boer,5.9,5.9,,0.0,0.0
Angelique de Bruijne,5.55,6.9,1.5136049682793724,0.0,0.0
Angelique de Rochambeau,6.2,6.2,,0.0,0.0
Angelis Luxx,,,,0.0,0.0
Angelista,6.5,6.5,,0.0,0.0
Angelita Aronce Sorensen,5.266666666666667,7.4,1.850225211517056,0.0,0.0
Angelita Curiel,5.6,5.6,,0.0,0.0
Angelita Edelmann,5.4,5.4,,0.0,0.0
Angelita Franco,4.3,6.3,2.8284271247461903,0.0,0.0
Angelita Head,,,,0.0,0.0
Angelita Henríquez,6.0,6.0,,0.0,0.0
Angelita Martinez,,,,0.0,0.0
Angelita Nelson,6.9,6.9,,0.0,0.0
Angelita Sampaio,,,,0.0,0.0
Angeliz Bruno,4.95,6.5,2.1920310216782974,0.0,0.0
Angell Conwell,5.133333333333334,7.4,1.3266499161421599,0.0,0.0
Angella Camacho,,,,0.0,0.0
Angella González,7.1,7.1,,0.0,0.0
Angella Joy,5.3,5.3,,0.0,0.0
Angella Tomato,5.8,5.8,,0.0,0.0
Angelle Brooks,5.637499999999999,8.2,1.3004806803639948,0.0,0.0
Angelle Ruiter,,,,0.0,0.0
Angelle Tusa,,,,0.0,0.0
Angelle Waltz,6.7,6.7,,0.0,0.0
Angelly Pimentel,6.6,6.6,,0.0,0.0
Angelo Acernese,,,,0.0,0.0
Angelo Espejo,2.5,2.5,,0.0,0.0
Angelou Garcia,7.5,7.5,,0.0,0.0
Angels Castuera,,,,0.0,0.0
Angels Escandell,8.0,8.0,,0.0,0.0
Angelu De Leon,6.664705882352941,8.8,1.2262448656725276,0.0,0.0
Angely Castroverde,6.2,6.2,,0.0,0.0
Angelyn Rocha,,,,0.0,0.0
Angelyna Khoo,6.1,6.1,,0.0,0.0
Angelyna Martinez-Boyd,4.0,4.0,,0.0,0.0
Angelyne,5.5,6.7,1.6970562748477143,0.0,0.0
Angelynn Collazo,,,,0.0,0.0
Angenette Anthony,7.0,7.0,,0.0,0.0
Angge,5.5,5.5,,0.0,0.0
Angge Santos,5.8,5.8,,0.0,0.0
Anggia Chan,,,,0.0,0.0
Anggie Amanda,3.75,5.1,1.9091883092036783,0.0,0.0
Anggie Villa,,,,0.0,0.0
Anggika Bolsterli,6.341666666666666,7.4,0.8360712598308542,0.0,0.0
Anggun,6.5,7.9,1.9798989873223336,0.0,0.0
Angham,,,,0.0,0.0
Angham Khalil,,,,0.0,0.0
Angharad Galnares,9.5,9.5,,0.0,0.0
Angharad Jones,,,,0.0,0.0
Angharad L. Ford,,,,0.0,0.0
Angharad Lyddon,7.5,7.5,,0.0,0.0
Angharad Price,4.4,4.4,,0.0,0.0
Angharad Rees,5.866666666666667,6.8,0.6562519841239848,0.0,0.0
Angharad Roberts,7.0,7.0,,0.0,0.0
Angharhad Owen,4.5,4.5,,0.0,0.0
Angi,7.5,7.5,,0.0,0.0
Angi Ali,,,,0.0,0.0
Angi Davidson,6.4,6.4,,0.0,0.0
Angi Friday,,,,0.0,0.0
Angi Singh,,,,0.0,0.0
Angi Smit,2.3,2.3,,0.0,0.0
Angibell,4.9,4.9,,0.0,0.0
Angie,6.0,6.0,,0.0,0.0
Angie Acosta,,,,0.0,0.0
Angie Adler,5.066666666666666,6.7,1.5176736583776278,0.0,0.0
Angie Alcázar,7.0,7.0,,0.0,0.0
Angie Alderman,6.2,6.2,,0.0,0.0
Angie Ali,4.6,4.6,,0.0,0.0
Angie Allen,6.9,6.9,,0.0,0.0
Angie Alma,7.6,7.6,,0.0,0.0
Angie Alvarez,,,,0.0,0.0
Angie Amata,3.4,3.4,0.0,0.0,0.0
Angie Anderson,7.9,7.9,,0.0,0.0
Angie Ang,6.9,6.9,,0.0,0.0
Angie Antoine,8.0,8.0,,0.0,0.0
Angie Arrona,4.7,4.7,,0.0,0.0
Angie Atwood,6.3,6.3,,0.0,0.0
Angie Ayala,,,,0.0,0.0
Angie Azur,1.7,1.7,,0.0,0.0
Angie Barnes,5.1,5.1,,0.0,0.0
Angie Barreto,,,,0.0,0.0
Angie Bates,4.8,4.8,,0.0,0.0
Angie Beck,6.5,6.5,,0.0,0.0
Angie Bell,,,,0.0,0.0
Angie Bogue,,,,0.0,0.0
Angie Bojorges,3.1999999999999997,4.6,1.9798989873223325,0.0,0.0
Angie Bolling,6.3,6.3,,0.0,0.0
Angie Boudreau,,,,0.0,0.0
Angie Bowie,6.220000000000001,6.4,0.2387467277262669,0.0,0.0
Angie Braley,,,,0.0,0.0
Angie Brown,4.766666666666667,7.2,2.122105872319601,0.0,0.0
Angie Bullaro,4.666666666666667,8.1,3.121431295629191,0.0,0.0
Angie Campbell,3.9,3.9,,0.0,0.0
Angie Canuel,,,,0.0,0.0
Angie Carr,,,,0.0,0.0
Angie Castillo,8.0,8.0,,0.0,0.0
Angie Castrence,6.0600000000000005,6.8,0.5594640292279748,0.0,0.0
Angie Cepeda,5.788888888888889,7.1,1.0643356883598052,0.0,0.0
Angie Chace,4.2,4.2,,0.0,0.0
Angie Chatelain,8.8,8.8,,0.0,0.0
Angie Chen,6.033333333333334,6.3,0.3785938897200184,0.0,0.0
Angie Cheong,4.9,6.3,0.8904252595569954,0.0,0.0
Angie Chiu,6.066666666666666,7.1,0.8658504314816559,0.0,0.0
Angie Cho,7.1,7.1,,0.0,0.0
Angie Chu,4.666666666666667,7.1,1.2548572295949312,0.0,0.0
Angie Coble-Atkinson,5.8,5.8,,0.0,0.0
Angie Conklin,,,,0.0,0.0
Angie Corley,3.8,3.8,,0.0,0.0
Angie Craft,5.1,5.1,,0.0,0.0
Angie Crisol,,,,0.0,0.0
Angie Cuturic,5.2,5.2,,0.0,0.0
Angie Daglas,3.4,3.4,0.0,0.0,0.0
Angie Daniela Lizundia,6.3,6.3,,0.0,0.0
Angie De La Piedra,,,,0.0,0.0
Angie DeGrazia,6.4,6.4,,0.0,0.0
Angie DeGrazio,8.8,8.8,,0.0,0.0
Angie Demirovic,,,,0.0,0.0
Angie Descalzi,4.7,4.7,,0.0,0.0
Angie Deville,,,,0.0,0.0
Angie Diamond,4.1,4.1,,0.0,0.0
Angie Diaz,7.1,7.1,,0.0,0.0
Angie Dickinson,6.020588235294118,7.3,0.8380277755448623,0.0,0.0
Angie Dillard,,,,0.0,0.0
Angie Echevarria,4.8,4.8,,0.0,0.0
Angie Edwards,,,,0.0,0.0
Angie Everhart,4.486363636363636,6.7,1.0493968583113669,0.0,0.0
Angie Ferro,7.1375,9.3,0.9932270636667124,0.0,0.0
Angie Fielder,6.0,6.0,,0.0,0.0
Angie Fox,6.3,6.3,,0.0,0.0
Angie Frausto,,,,0.0,0.0
Angie Freesmeier,,,,0.0,0.0
Angie Gaffney,5.7,5.7,,0.0,0.0
Angie Gambetta,4.6,4.6,,0.0,0.0
Angie Gillespie,,,,0.0,0.0
Angie Gisèle,,,,0.0,0.0
Angie Grant,5.0,5.0,,0.0,0.0
Angie Gray,5.6,5.6,,0.0,0.0
Angie Greenup,5.4,5.4,,0.0,0.0
Angie Gregory,6.5,6.5,,0.0,0.0
Angie Gruber,,,,0.0,0.0
Angie Gundrum,,,,0.0,0.0
Angie Haney-Walters,,,,0.0,0.0
Angie Hansen,2.25,3.0,1.0606601717798212,0.0,0.0
Angie Harmon,5.942857142857143,7.4,0.9126100716391109,0.0,0.0
Angie Harrell,7.55,8.0,0.636396103067893,0.0,0.0
Angie Hill,5.0,5.0,,0.0,0.0
Angie Hobin,,,,0.0,0.0
Angie Hoyos,6.5,6.5,,0.0,0.0
Angie Ifalice,7.6,7.6,,0.0,0.0
Angie Ip,,,,0.0,0.0
Angie Jacquot,,,,0.0,0.0
Angie Jagunos,3.2,3.2,,0.0,0.0
Angie James,,,,0.0,0.0
Angie Janosky,4.8,4.8,,0.0,0.0
Angie Jerez,8.0,8.0,,0.0,0.0
Angie Jho Lee,,,,0.0,0.0
Angie Jibaja,5.15,5.2,0.07071067811865545,0.0,0.0
Angie Johnson,3.6,3.6,,0.0,0.0
Angie Kalen,,,,0.0,0.0
Angie Keeling,4.3,4.3,,0.0,0.0
Angie Kempf,5.4,5.4,,0.0,0.0
Angie Kent,,,,0.0,0.0
Angie Kim,5.6,6.1,0.7071067811865476,0.0,0.0
Angie Landreth,,,,0.0,0.0
Angie Le Mar,6.4,6.4,,0.0,0.0
Angie Lee,4.1,4.1,,0.0,0.0
Angie Light,6.4,6.4,,0.0,0.0
Angie Lister,5.7,5.7,,0.0,0.0
Angie Louise,4.1,4.1,,0.0,0.0
Angie Lucia,2.7,2.7,,0.0,0.0
Angie Magio,6.4,6.4,,0.0,0.0
Angie Major,5.7,5.7,,0.0,0.0
Angie Marie Espinoza,7.35,7.7,0.49497474683058307,0.0,0.0
Angie Marte,,,,0.0,0.0
Angie Martinez,4.833333333333333,5.6,0.8621678104251707,0.0,0.0
Angie Mattson,7.7,7.7,,0.0,0.0
Angie Mavrakis,2.9,2.9,,0.0,0.0
Angie McGilvrey,,,,0.0,0.0
Angie Mcpherson,4.757142857142857,7.9,2.67448259348554,0.0,0.0
Angie Medrano,6.1,6.1,,0.0,0.0
Angie Milliken,6.083333333333333,6.9,0.7825753908884705,0.0,0.0
Angie Mitchell,4.4,4.4,,0.0,0.0
Angie Montero,,,,0.0,0.0
Angie Moorcroft,4.5,4.5,,0.0,0.0
Angie Moore,4.7,4.7,,0.0,0.0
Angie Ng,,,,0.0,0.0
Angie O'Flaherty,5.6,5.6,,0.0,0.0
Angie Ojciec,5.65,5.8,0.21213203435596445,0.0,0.0
Angie Olbrich,,,,0.0,0.0
Angie Ortega,7.1,7.1,,0.0,0.0
Angie Palmer,7.0,7.2,0.26457513110645897,0.0,0.0
Angie Papanikolas,3.5,3.5,,0.0,0.0
Angie Patton,,,,0.0,0.0
Angie Perez,5.7,5.7,,0.0,0.0
Angie Pierce,,,,0.0,0.0
Angie Pontani,,,,0.0,0.0
Angie Quick,3.7,3.7,,0.0,0.0
Angie Radosh,4.5,4.5,,0.0,0.0
Angie Redman,6.65,7.8,1.626345596729059,0.0,0.0
Angie Reynal,6.8,6.8,,0.0,0.0
Angie Romero,,,,0.0,0.0
Angie Ruiz,6.6,6.6,,0.0,0.0
Angie Sanchez,5.5,5.5,,0.0,0.0
Angie Sandoval,,,,0.0,0.0
Angie Savall,5.4,5.6,0.28284271247461895,0.0,0.0
Angie Scuderi,7.05,7.6,0.7778174593052021,0.0,0.0
Angie Seow,6.4,6.4,,0.0,0.0
Angie Shum,4.5,4.5,,0.0,0.0
Angie Silver,,,,0.0,0.0
Angie Simms,5.966666666666666,8.6,2.6006409466386033,0.0,0.0
Angie Spaziani,7.4,7.4,,0.0,0.0
Angie Stevenson,3.533333333333333,4.9,1.2096831541082704,0.0,0.0
Angie Stone,6.633333333333333,8.1,1.3650396819628843,0.0,0.0
Angie Suh,6.0,6.0,,0.0,0.0
Angie Tricker,4.3,4.3,,0.0,0.0
Angie Tsang,7.2,7.2,,0.0,0.0
Angie Téodora Dick,4.0,4.4,0.36055512754639885,0.0,0.0
Angie Velazquez,3.8333333333333335,5.7,1.4264174237111191,0.0,0.0
Angie Vibeker,5.1,5.1,0.0,0.0,0.0
Angie Vick,6.3,6.3,,0.0,0.0
Angie Virgin,5.800000000000001,6.2,0.5656854249492382,0.0,0.0
Angie Waller,4.9,4.9,,0.0,0.0
Angie Wang,6.1,6.3,0.28284271247461895,0.0,0.0
Angie Watkins,,,,0.0,0.0
Angie Wells,4.2,4.2,,0.0,0.0
Angie Yulia,3.7,3.7,,0.0,0.0
Angie Zachary,4.2,4.2,,0.0,0.0
Angie-Pepper O'Bomsawin,6.9,6.9,,0.0,0.0
Angieguinn,,,,0.0,0.0
Angila Ahmad,4.4,4.4,,0.0,0.0
Angill Suan,6.5,6.5,,0.0,0.0
Angiola Baggi,4.8,6.7,2.6870057685088806,0.0,0.0
Angiolina Quinterno,5.575,6.1,0.6184658438426485,0.0,0.0
Angiovanna Gresko,,,,0.0,0.0
Angira Dhar,7.1,7.1,,0.0,0.0
Angjela Prenci,,,,0.0,0.0
Angkana Timdee,7.1,8.0,1.272792206135785,0.0,0.0
Anglie Leung,5.341176470588235,6.7,0.7533747602699233,0.0,0.0
Angourie Rice,6.29,7.4,0.8491171886141512,0.0,0.0
Angshruta Kashyap,,,,0.0,0.0
Angun Guillerm,7.1,7.1,,0.0,0.0
Angurlata Deka,7.9,7.9,,0.0,0.0
Angy Fernández,5.65,5.9,0.3535533905932738,0.0,0.0
Angèle,,,,0.0,0.0
Angèle Arsenault,6.6,6.6,,0.0,0.0
Angèle Coutu,5.861538461538462,6.9,0.992084053510976,0.0,0.0
Angèle Durand,5.8,6.8,1.4142135623730951,0.0,0.0
Angèle Ferreux,5.5,5.5,,0.0,0.0
Angèle Garnier,6.199999999999999,6.6,0.5656854249492382,0.0,0.0
Angèle Humeau,6.1,6.1,,0.0,0.0
Angèle Lemort,9.2,9.2,,0.0,0.0
Angèle Mac,,,,0.0,0.0
Angèle Massei,6.0,6.1,0.141421356237309,0.0,0.0
Angèle Mebenga,,,,0.0,0.0
Angèle Metzger,5.65,6.2,0.7778174593052023,0.0,0.0
Angèle Niangoran,6.2,6.2,,0.0,0.0
Angèle Peyrade,,,,0.0,0.0
Angèle Roelofs,,,,0.0,0.0
Angèle Vivier,,,,0.0,0.0
Angèle de Sentenac,5.2,5.2,,0.0,0.0
Angéla Császár,5.68,7.5,2.6099808428415714,0.0,0.0
Angéla Eke,5.9,5.9,,0.0,0.0
Angéla Galán,,,,0.0,0.0
Angéla Kramers,4.4,4.4,,0.0,0.0
Angéla Kóczé,,,,0.0,0.0
Angéla Stefanovics,5.8,7.3,0.9695359714832659,0.0,0.0
Angélica,3.8666666666666663,5.3,1.2072696467649635,0.0,0.0
Angélica Ahumada,5.8,5.8,,0.0,0.0
Angélica Alcaide,5.2,5.2,,0.0,0.0
Angélica Andreu,4.8,4.8,,0.0,0.0
Angélica Aragón,5.742857142857142,7.1,1.1226827987756232,0.0,0.0
Angélica Arenas,6.6,6.6,,0.0,0.0
Angélica Aristizábal,6.9,6.9,,0.0,0.0
Angélica Bauter,,,,0.0,0.0
Angélica Baños Hernández,,,,0.0,0.0
Angélica Belmont,5.6,5.6,,0.0,0.0
Angélica Belén,,,,0.0,0.0
Angélica Caetano,,,,0.0,0.0
Angélica Casallas,4.8,4.8,,0.0,0.0
Angélica Celaya,4.266666666666667,5.5,1.4977761292440648,0.0,0.0
Angélica Chain,5.659090909090909,7.6,1.0321164036159427,0.0,0.0
Angélica Chaves,5.4,5.4,,0.0,0.0
Angélica Chong,,,,0.0,0.0
Angélica Cuenca,6.8,6.8,,0.0,0.0
Angélica Dalcin,5.8,5.8,,0.0,0.0
Angélica Di Paula,,,,0.0,0.0
Angélica Dos Santos,,,,0.0,0.0
Angélica Garay,4.5,4.5,,0.0,0.0
Angélica González,8.3,8.3,,0.0,0.0
Angélica Guerra,8.6,8.6,,0.0,0.0
Angélica Herrera,6.1,6.1,,0.0,0.0
Angélica Infante,6.6,6.6,,0.0,0.0
Angélica Lara,5.5,5.5,,0.0,0.0
Angélica Leal,,,,0.0,0.0
Angélica López,4.3,4.3,,0.0,0.0
Angélica López Fueyo,,,,0.0,0.0
Angélica María,6.0558139534883715,7.4,0.8743166925366821,0.0,0.0
Angélica Merlo,8.6,8.6,,0.0,0.0
Angélica Morales,3.4,3.4,,0.0,0.0
Angélica Moya,7.1,7.1,,0.0,0.0
Angélica Oliveira,7.6,7.6,,0.0,0.0
Angélica Ordoñez,6.2,6.2,,0.0,0.0
Angélica Perrone,4.8,4.8,,0.0,0.0
Angélica Ramirez,,,,0.0,0.0
Angélica Revert,4.2,5.0,0.8000000000000002,0.0,0.0
Angélica Riquelme,6.2,6.2,,0.0,0.0
Angélica Rivera,5.7,6.7,1.4142135623730951,0.0,0.0
Angélica Rosado,,,,0.0,0.0
Angélica Ruiz,3.2,3.2,,0.0,0.0
Angélica Sancio,7.5,7.5,,0.0,0.0
Angélica Santos,7.216666666666666,8.1,0.6274286147974656,0.0,0.0
Angélica Soler,5.516666666666667,8.6,1.92189142946907,0.0,0.0
Angélica Soto Mayor,,,,0.0,0.0
Angélica Torres,5.3,5.3,,0.0,0.0
Angélica Vale,6.32,6.9,0.4494441010848845,0.0,0.0
Angélica Vargas,,,,0.0,0.0
Angélica del Pilar Flores Herrera,5.2,5.2,,0.0,0.0
Angélique Ahier,8.4,8.4,,0.0,0.0
Angélique Alleron,,,,0.0,0.0
Angélique Astgen,6.1,6.1,,0.0,0.0
Angélique Atlan,,,,0.0,0.0
Angélique Audinot,,,,0.0,0.0
Angélique Bergerat,7.1,7.1,,0.0,0.0
Angélique Bouchet,5.3,5.3,,0.0,0.0
Angélique Corneille,5.1,5.1,,0.0,0.0
Angélique Duvier,4.125,4.5,0.2872281323269015,0.0,0.0
Angélique Ferrão,,,,0.0,0.0
Angélique Flaugère,,,,0.0,0.0
Angélique Gernez,,,,0.0,0.0
Angélique Kidjo,5.8,5.8,,0.0,0.0
Angélique Kourounis,8.0,8.0,,0.0,0.0
Angélique Leitao,3.0,3.0,,0.0,0.0
Angélique Litzenburger,6.4,6.4,,0.0,0.0
Angélique Magnier,,,,0.0,0.0
Angélique Noldus,,,,0.0,0.0
Angélique Panchéri,3.8,3.8,,0.0,0.0
Angélique Thomas,4.7,4.7,,0.0,0.0
Anh Duong,5.9799999999999995,6.6,0.7463243262818116,0.0,0.0
Anh Hieu,7.8,7.8,,0.0,0.0
Anh Hoa Nguyen,7.1,7.3,0.28284271247461834,0.0,0.0
Anh Hong,9.0,9.0,,0.0,0.0
Anh Huynh Tuyet,6.9,6.9,,0.0,0.0
Anh Kim,7.1,7.1,,0.0,0.0
Anh Nguyet,,,,0.0,0.0
Anh Quynh,5.6,5.6,,0.0,0.0
Anh Thu,5.7,5.7,,0.0,0.0
Anh Tram Huynh,6.5,6.5,,0.0,0.0
Anh Tran-Nghia,,,,0.0,0.0
Anh Truong Ngoc,,,,0.0,0.0
Anh Tuan,7.449999999999999,7.6,0.21213203435596445,0.0,0.0
Anh Van,7.6,7.6,,0.0,0.0
Anh Vo,7.8,7.8,,0.0,0.0
Anh Vu,5.4,5.4,,0.0,0.0
Anh Vu Nguyen,,,,0.0,0.0
Anh-Nga,6.3,6.3,,0.0,0.0
Anha Tamanna,,,,0.0,0.0
Ani,6.65,6.8,0.2121320343559638,0.0,0.0
Ani Abrahamyan,,,,0.0,0.0
Ani Amarachi,,,,0.0,0.0
Ani Amatosero,,,,0.0,0.0
Ani Amiridze,7.449999999999999,8.2,1.060660171779821,0.0,0.0
Ani Aristizábal,7.6,7.6,,0.0,0.0
Ani Bakalova,6.8999999999999995,8.1,1.231259517729711,0.0,0.0
Ani Bebia,6.7,7.0,0.4242640687119283,0.0,0.0
Ani Bilesky,2.0,2.0,,0.0,0.0
Ani Cahya,,,,0.0,0.0
Ani Chiradze,,,,0.0,0.0
Ani Choying Drolma,7.2,7.2,,0.0,0.0
Ani Corey,,,,0.0,0.0
Ani DiFranco,8.7,8.7,,0.0,0.0
Ani Galstyan,7.1,7.1,,0.0,0.0
Ani Ghazaryan,7.3,8.0,0.8185352771872447,0.0,0.0
Ani Giunteri,5.0,5.0,,0.0,0.0
Ani Haroyan,6.5,6.5,,0.0,0.0
Ani Hovhannisyan,6.4,6.4,,0.0,0.0
Ani Ipekkaya,6.18,7.7,1.779606698121807,0.0,0.0
Ani Karseladze,,,,0.0,0.0
Ani Khachikyan,8.1,8.1,,0.0,0.0
Ani Kushashvili,5.6,5.6,,0.0,0.0
Ani Lorak,4.366666666666666,6.0,1.4571661996262926,0.0,0.0
Ani Mahserejian,8.4,8.4,,0.0,0.0
Ani Mamikonian,,,,0.0,0.0
Ani Mayuni,7.45,7.5,0.0707106781186545,0.0,0.0
Ani Mesa,,,,0.0,0.0
Ani Monjardim,,,,0.0,0.0
Ani Nelson,,,,0.0,0.0
Ani O'Neill,5.7,5.7,,0.0,0.0
Ani Pearl Alonzo,6.4,6.4,,0.0,0.0
Ani Petrosyan,6.9,7.8,0.6377042156569659,0.0,0.0
Ani Petrova,6.8,7.0,0.2828427124746193,0.0,0.0
Ani Princess,,,,0.0,0.0
Ani Priyo,7.8,7.8,,0.0,0.0
Ani Spasova,6.75,7.1,0.49497474683058273,0.0,0.0
Ani Suwarno,,,,0.0,0.0
Ani Tkebuchava,6.1,6.1,,0.0,0.0
Ani Toroian,,,,0.0,0.0
Ani Tsoneva,7.333333333333333,8.0,0.6110100926607783,0.0,0.0
Ani Tumanyan,6.6,6.6,,0.0,0.0
Ani Vulchanova,6.7555555555555555,7.8,0.8889756902063056,0.0,0.0
Ani Waggoner,,,,0.0,0.0
Ani Williams,,,,0.0,0.0
Ani Yek,,,,0.0,0.0
Ani Yeranyan,6.4,6.4,,0.0,0.0
Ani'yah Cotton,,,,0.0,0.0
Ania Alexander,7.4,7.4,,0.0,0.0
Ania Bartelmus,5.8,5.8,,0.0,0.0
Ania Besser,,,,0.0,0.0
Ania Bukstein,6.333333333333333,7.4,0.6400757530925303,0.0,0.0
Ania Catherine,,,,0.0,0.0
Ania Cazan,,,,0.0,0.0
Ania Chorabik,5.4,5.4,,0.0,0.0
Ania Chudia,,,,0.0,0.0
Ania García,6.3,6.3,,0.0,0.0
Ania Gauer,,,,0.0,0.0
Ania Josse,6.5,6.5,,0.0,0.0
Ania Krupiakov,,,,0.0,0.0
Ania Kubicka,,,,0.0,0.0
Ania Kulikowski,4.0,4.0,,0.0,0.0
Ania Lyons,,,,0.0,0.0
Ania Marson,5.355555555555556,7.8,1.8493993018755515,0.0,0.0
Ania Nova,5.9,5.9,,0.0,0.0
Ania Pieroni,5.8875,7.0,0.6957780844904089,0.0,0.0
Ania Rizzi Bogdan,7.0,7.0,,0.0,0.0
Ania Schnyukova,,,,0.0,0.0
Ania Sepulveda,,,,0.0,0.0
Ania Sowinski,5.971428571428571,7.9,1.0873734190152675,0.0,0.0
Ania Suli,6.366666666666667,6.8,0.4509249752822894,0.0,0.0
Ania Svetovaya,,,,0.0,0.0
Ania Temler,6.3,6.5,0.2828427124746193,0.0,0.0
Ania Vegry,,,,0.0,0.0
Anica Barbosa,5.65,6.8,1.6263455967290594,0.0,0.0
Anica Dobra,6.73125,8.2,1.0132787725832124,0.0,0.0
Anica Kovacevic,4.1,4.1,,0.0,0.0
Anica Kumer,8.4,8.4,,0.0,0.0
Anica Osmond,4.85,5.3,0.6363961030678921,0.0,0.0
Anica Petrovic,,,,0.0,0.0
Anica Prebeg,7.2,7.2,,0.0,0.0
Anicca Panna,,,,0.0,0.0
Anicia Vega,,,,0.0,0.0
Anick,5.4,5.4,,0.0,0.0
Anick Lemay,6.155555555555555,6.7,0.5525194818083592,0.0,0.0
Anicka Haywood,4.0,4.0,,0.0,0.0
Anicka Kotrousova,6.4,6.4,,0.0,0.0
Anicka Vikramman,,,,0.0,0.0
Anicée Alvina,5.78421052631579,6.9,0.8022628814759861,0.0,0.0
Anida Ait Abdesselam,6.3,6.3,,0.0,0.0
Anidria Stadler,,,,0.0,0.0
Anie Calixto Alves Eduardo,7.9,7.9,,0.0,0.0
Anie Hu,,,,0.0,0.0
Anie Inoue,7.6,7.6,,0.0,0.0
Anie Pascale,6.1,7.0,0.6708203932499371,0.0,0.0
Aniebiet Francis,,,,0.0,0.0
Aniek,,,,0.0,0.0
Aniek Stokkers,7.4,7.4,,0.0,0.0
Aniela Czartoryska,,,,0.0,0.0
Aniela Gonzalez,,,,0.0,0.0
Aniela Herrera,6.4,6.4,,0.0,0.0
Aniela Kaczmarzyk,5.449999999999999,6.8,1.9091883092036788,0.0,0.0
Aniela Karadzhova,6.4,6.4,,0.0,0.0
Aniela Kurylo,6.7,6.7,,0.0,0.0
Aniela Leyland,,,,0.0,0.0
Aniela McGuinness,3.5,4.2,0.4123105625617661,0.0,0.0
Aniesta Chibwe,,,,0.0,0.0
Anieya Walker,5.766666666666667,7.7,2.0599352740640504,0.0,0.0
Anigue Feumba,,,,0.0,0.0
Anih Jennifer Ebere,,,,0.0,0.0
Anik Belaubre,7.2,7.2,,0.0,0.0
Anik Ellahee,4.3,4.3,,0.0,0.0
Anik Georgeault,8.4,8.4,,0.0,0.0
Anik Jean,6.8,8.0,1.6970562748477143,0.0,0.0
Anik Lefebvre,,,,0.0,0.0
Anik Matern,4.55,5.2,0.9192388155425121,0.0,0.0
Anik Rompré,2.9,4.5,2.262741699796952,0.0,0.0
Anik Shefrazian,6.95,7.9,0.6833739825307954,0.0,0.0
Anik Vermette,6.3,6.3,,0.0,0.0
Anika Ahmed,,,,0.0,0.0
Anika Ball,,,,0.0,0.0
Anika Benty Kamal Aaira,,,,0.0,0.0
Anika Bonitz,,,,0.0,0.0
Anika Bootz,,,,0.0,0.0
Anika Boyle,,,,0.0,0.0
Anika Buchanan,2.7,2.7,,0.0,0.0
Anika C. McFall,5.633333333333334,7.9,1.7867568385205639,0.0,0.0
Anika Chorbeska,6.2,6.2,,0.0,0.0
Anika Collier Navaroli,,,,0.0,0.0
Anika Contos,,,,0.0,0.0
Anika Egger,4.1,4.1,,0.0,0.0
Anika Erickson,3.3,3.3,,0.0,0.0
Anika Grason,6.7,6.7,,0.0,0.0
Anika Grujic,,,,0.0,0.0
Anika Hawkins,5.5,5.5,,0.0,0.0
