primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
A.J. Briones,5.0,5.0,,0.0,0.0
A.J. Brooks,4.7,4.7,,0.0,0.0
A.J. Catoline,6.6,6.6,,0.0,0.0
A.J. Ciccotelli,6.0,6.0,,0.0,0.0
A.J. Dirty Stein,,,,0.0,0.0
A.J. Eaton,7.5,7.5,,0.0,0.0
A.J. Edwards,6.0,6.0,0.0,0.0,0.0
A.J. Goodrich,,,,0.0,0.0
A.J. Gribble,7.2,7.2,,0.0,0.0
A.J. Kardar,2.8,2.8,,0.0,0.0
A.J. Kparr,4.6,4.6,,0.0,0.0
A.J. Martinson,4.5,4.5,,0.0,0.0
A.J. Mattioli,6.6000000000000005,9.5,2.019075696121041,0.0,0.0
A.J. Mintu,5.6,7.4,2.545584412271571,0.0,0.0
A.J. Murugan,7.2,7.2,,0.0,0.0
A.J. Oetman,,,,0.0,0.0
A.J. Pinkerton,,,,0.0,0.0
A.J. Rana,,,,0.0,0.0
A.J. Rose,,,,0.0,0.0
A.J. Tesler,,,,0.0,0.0
A.J. Womack,,,,0.0,0.0
A.K.,5.3,5.3,,0.0,0.0
A.K. Banerjee,,,,0.0,0.0
A.K. Burns,,,,0.0,0.0
A.K. Khambampati,7.4,7.4,,0.0,0.0
A.K. Lohithadas,6.6571428571428575,7.9,1.0341778423094403,0.0,0.0
A.K. Moore,6.2,6.2,,0.0,0.0
A.K. Sahadevan,,,,0.0,0.0
A.K. Sajan,4.4,6.5,1.8073922282301276,0.0,0.0
A.K. Sohel,8.5,8.5,,0.0,0.0
A.K. Strom,3.3000000000000003,4.0,0.6082762530298219,0.0,0.0
A.K.B. Kumar,,,,0.0,0.0
A.K.S. Nambiar,8.5,8.5,,0.0,0.0
A.L. Abanindran,6.9,6.9,,0.0,0.0
A.L. Raja,4.2,4.2,,0.0,0.0
A.L. Steiner,,,,0.0,0.0
A.L. Vijay,6.173333333333333,8.2,1.0532037292177114,0.0,0.0
A.M. Baskar,,,,0.0,0.0
A.M. Greene,6.5,7.1,0.8485281374238566,0.0,0.0
A.M. Lukas,5.8,5.8,,0.0,0.0
A.M. Nandakumar,7.2,7.2,,0.0,0.0
A.M. Peters,,,,0.0,0.0
A.M. Presmanes,,,,0.0,0.0
A.M. Rathnam,7.6,7.6,,0.0,0.0
A.M. Samiulla,7.3,7.3,,0.0,0.0
A.M. Sannazzaro,7.3,7.3,,0.0,0.0
A.M. Walters,,,,0.0,0.0
A.M.R. Ramesh,7.0,8.2,1.0230672835481867,0.0,0.0
A.N. Jayaramaiah,,,,0.0,0.0
A.N. Other,7.1,7.1,,0.0,0.0
A.P. Arjun,6.225,8.7,1.8117670931993435,0.0,0.0
A.P. Gonzalez,5.9,5.9,,0.0,0.0
A.P. Nagarajan,7.421428571428571,8.1,0.842321491181066,0.0,0.0
A.P.Chandrabose,,,,0.0,0.0
A.Q. Khokon,6.3,6.3,,0.0,0.0
A.R. Amal Kannan,5.7,5.7,,0.0,0.0
A.R. Babu,5.4,5.4,,0.0,0.0
A.R. Badul,7.615384615384615,8.5,0.606693434179836,0.0,0.0
A.R. Brook Lynn,8.3,8.3,,0.0,0.0
A.R. Gandhi Krishna,,,,0.0,0.0
A.R. Hilton,3.8,3.8,,0.0,0.0
A.R. Kagan,7.0,7.0,,0.0,0.0
A.R. Kendiren Muniyasami,,,,0.0,0.0
A.R. Mastan,,,,0.0,0.0
A.R. Matheazhagan,,,,0.0,0.0
A.R. Mohan,,,,0.0,0.0
A.R. Mukesh,2.7,2.7,,0.0,0.0
A.R. Murugadoss,7.015384615384615,8.2,0.8365067780619528,0.0,0.0
A.R. Nicholas,5.9,5.9,,0.0,0.0
A.R. Rafi,,,,0.0,0.0
A.R. Rahim,,,,0.0,0.0
A.R. Rahman,,,,0.0,0.0
A.R. Raja,,,,0.0,0.0
A.R. Ramesh,6.3,6.3,,0.0,0.0
A.R. Sarkar,,,,0.0,0.0
A.R. Shiva Tejas,6.0,6.2,0.2828427124746193,0.0,0.0
A.R. Sivajidass,,,,0.0,0.0
A.R. Sreedhar,,,,0.0,0.0
A.R. Venkatesh,,,,0.0,0.0
A.S. Afo-O,,,,0.0,0.0
A.S. Pragasam,7.0,7.0,,0.0,0.0
A.S. Ramachandra Rao,,,,0.0,0.0
A.S. Ravi Kumar Chowdary,4.42,5.9,1.567482057313576,0.0,0.0
A.S.A. Sami,6.7,7.2,0.7071067811865476,0.0,0.0
A.T. Abu,6.3,6.3,,0.0,0.0
A.T. Joy,4.949999999999999,6.1,1.6263455967290594,0.0,0.0
A.T. Krishnaswamy,6.6,8.2,2.2627416997969516,0.0,0.0
A.T. Raghu,5.3,5.3,,0.0,0.0
A.T. Sayre,7.1,7.1,,0.0,0.0
A.T. Sharma,,,,0.0,0.0
A.T. White,5.2,5.2,,0.0,0.0
A.T.M. Shamsuzzaman,6.1,6.1,,0.0,0.0
A.V. Giri,,,,0.0,0.0
