primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
Gou Suzuki,7.0,7.0,,0.0,0.0
Gourab Biswas,,,,0.0,0.0
Gourab Dutta,,,,0.0,0.0
Goushi Kawano,,,,0.0,0.0
Goutam Ghose,7.4105263157894745,8.7,0.7964467875383242,0.0,0.0
Goutam Gupta,,,,0.0,0.0
Goutam Pawar,2.4,2.4,,0.0,0.0
Goutam Sarkar,,,,0.0,0.0
Goutam Sen,6.7,6.7,,0.0,0.0
Goutham,,,,0.0,0.0
Goutham E.V.S.,6.8,6.8,,0.0,0.0
Goutham Kanade,,,,0.0,0.0
Goutham Mylavaram,,,,0.0,0.0
Goutham Raghavendra,,,,0.0,0.0
Goutham Soorya,7.5,7.5,,0.0,0.0
Gouzalia Van Mater,6.9,6.9,,0.0,0.0
Govardhan Asrani,5.325,7.1,1.431491064123932,0.0,0.0
Goverdhan Gajjala,5.5,5.5,,0.0,0.0
Goverdhan Reddy,2.7,2.7,,0.0,0.0
Govi,2.7,2.7,,0.0,0.0
Govind Dasar,,,,0.0,0.0
Govind Gupta,,,,0.0,0.0
Govind Kulkarni,8.2,8.5,0.4242640687119276,0.0,0.0
Govind Menon,3.233333333333333,4.2,0.8386497083606084,0.0,0.0
Govind Mishra,8.6,8.6,,0.0,0.0
Govind Moonis,6.8,8.1,1.252996408614167,0.0,0.0
Govind Nihalani,7.071428571428571,8.1,0.9651054716602595,0.0,0.0
Govind Sakariya,4.1,4.1,,0.0,0.0
Govind Saraiya,6.9,6.9,,0.0,0.0
Govind Singh,,,,0.0,0.0
Govind Singh Bhandari,,,,0.0,0.0
Govind Tej,7.2,7.2,,0.0,0.0
Govind Varaha,7.6,7.6,,0.0,0.0
Govinda Van Maele,6.1,6.1,,0.0,0.0
Govinda.Kavali,,,,0.0,0.0
Govindan Aravindan,7.211111111111112,7.5,0.18333333333333302,0.0,0.0
Govindbhai Patel,7.15,7.2,0.07071067811865545,0.0,0.0
Gower Champion,5.95,6.5,0.7778174593052021,0.0,0.0
Gowri Goli,5.8,5.8,,0.0,0.0
Gowri Manohar,4.4,4.4,,0.0,0.0
Gowri Ronanki,,,,0.0,0.0
Gowtam Tinnanuri,8.15,8.5,0.49497474683058307,0.0,0.0
Gowtham Namasivayam,,,,0.0,0.0
Gowtham R,,,,0.0,0.0
Gowtham Selvaraj,8.2,8.2,,0.0,0.0
Goyo Anchou,6.125,7.7,1.6194134740701647,0.0,0.0
Gozo Matsui,4.5,4.5,,0.0,0.0
Grace Chapman,8.1,8.1,,0.0,0.0
Grace Denker,,,,0.0,0.0
Grace Edwin-Okon,,,,0.0,0.0
Grace Fraga,,,,0.0,0.0
Grace Fusillo-Lombardi,,,,0.0,0.0
Grace Glowicki,3.9,3.9,,0.0,0.0
Grace Harper Brighouse,,,,0.0,0.0
Grace Kahaki Munthali,,,,0.0,0.0
Grace Kitto,7.8,7.8,,0.0,0.0
Grace Lee,7.0,8.1,1.2227019260637484,0.0,0.0
Grace McKenzie,6.550000000000001,6.7,0.21213203435596445,0.0,0.0
Grace Ndiritu,,,,0.0,0.0
Grace Passô,7.3,7.3,,0.0,0.0
Grace Perez,,,,0.0,0.0
Grace Petro,,,,0.0,0.0
Grace Phan,7.4,7.4,,0.0,0.0
Grace Roebuck,,,,0.0,0.0
Grace Schwindt,,,,0.0,0.0
Grace Shafir,,,,0.0,0.0
Grace Simbulan,9.0,9.0,,0.0,0.0
Grace Smith Hughes,6.4,6.4,,0.0,0.0
Grace Sweeney,6.2,6.2,,0.0,0.0
Grace Tarducci,,,,0.0,0.0
Grace Telesco,,,,0.0,0.0
Grace Wethor,,,,0.0,0.0
Grace Winter,7.2,7.2,,0.0,0.0
Grace Wu,,,,0.0,0.0
Grace Yoon,,,,0.0,0.0
Gracia Querejeta,6.08,6.8,0.47795862210493134,0.0,0.0
Gracie Otto,6.9,6.9,,0.0,0.0
Gracie Rae,4.05,5.1,1.4849242404917495,0.0,0.0
Graciela De Luca,,,,0.0,0.0
Graciela Guarani,7.9,7.9,,0.0,0.0
Graciela Rodriguez,,,,0.0,0.0
Graciela Rodriguez Gilio,6.2,6.2,,0.0,0.0
Graciela de Garay,,,,0.0,0.0
Graciela de Pablos,,,,0.0,0.0
Gracindo Júnior,8.5,8.5,,0.0,0.0
Gracjan Gornig,2.55,3.4,1.2020815280171306,0.0,0.0
Gradoboev Stepan,,,,0.0,0.0
Grady Candler,,,,0.0,0.0
Grady Fiorio,,,,0.0,0.0
Grady MacTavish,,,,0.0,0.0
Grady Moore,6.5,6.5,,0.0,0.0
Grady Thrasher,,,,0.0,0.0
Grady Weatherford,,,,0.0,0.0
Graehme Middleton,,,,0.0,0.0
Graeme Alistair Scott,,,,0.0,0.0
Graeme Arnfield,,,,0.0,0.0
Graeme Campbell,5.0600000000000005,5.6,0.46690470119714983,0.0,0.0
Graeme Carr,,,,0.0,0.0
Graeme Clifford,6.2,7.2,0.9055385138137414,0.0,0.0
Graeme Cole,6.7,6.7,,0.0,0.0
Graeme Cooney,,,,0.0,0.0
Graeme Duane,6.928571428571429,8.7,0.9629649979628476,0.0,0.0
Graeme Dunlop,5.7,5.7,,0.0,0.0
Graeme Ferguson,6.15,7.5,1.909188309203678,0.0,0.0
Graeme Harper,7.3,7.3,,0.0,0.0
Graeme Hart,,,,0.0,0.0
Graeme Higginson,,,,0.0,0.0
Graeme MacMillan,,,,0.0,0.0
Graeme Maley,5.35,5.4,0.07071067811865545,0.0,0.0
Graeme Mathieson,,,,0.0,0.0
Graeme McNab,,,,0.0,0.0
Graeme Moffatt,,,,0.0,0.0
Graeme Moore,,,,0.0,0.0
Graeme Noble,5.816666666666666,9.0,2.151666021172121,0.0,0.0
Graeme Rattigan,5.7,5.7,,0.0,0.0
Graeme Thomson,,,,0.0,0.0
Graeme Tuckett,,,,0.0,0.0
Graeme Whifler,5.1,5.1,,0.0,0.0
Graeme Wilson,,,,0.0,0.0
Graham Abraham,4.05,4.1,0.0707106781186545,0.0,0.0
Graham Annable,6.8,6.8,,0.0,0.0
Graham Baker,5.55,6.4,0.8619744775803982,0.0,0.0
Graham Ball,7.8,7.8,,0.0,0.0
Graham Bendel,7.2,7.2,,0.0,0.0
Graham Birch,,,,0.0,0.0
Graham Bowlin,6.2,6.2,,0.0,0.0
Graham Bullard,,,,0.0,0.0
Graham Cantwell,4.6,5.0,0.5656854249492376,0.0,0.0
Graham Carter,,,,0.0,0.0
Graham Chase,,,,0.0,0.0
Graham Coleman,7.6,7.6,,0.0,0.0
Graham Cooper,,,,0.0,0.0
Graham Denman,4.9,4.9,,0.0,0.0
Graham Dent,8.2,8.2,,0.0,0.0
Graham Dixon,7.0,7.0,,0.0,0.0
Graham Driscoll,6.85,7.0,0.2121320343559638,0.0,0.0
Graham Drysdale,6.9,6.9,,0.0,0.0
Graham DuBose,4.7,4.7,,0.0,0.0
Graham Eatough,,,,0.0,0.0
Graham Egarr,,,,0.0,0.0
Graham Elwood,6.65,6.9,0.3535533905932738,0.0,0.0
Graham Fagen,,,,0.0,0.0
Graham Fellows,7.8,8.0,0.2828427124746193,0.0,0.0
Graham Flanagan,,,,0.0,0.0
Graham Fletcher-Cook,4.9,4.9,,0.0,0.0
Graham Foy,,,,0.0,0.0
Graham Gall,,,,0.0,0.0
Graham Gordon Ramsay,,,,0.0,0.0
Graham Green,4.4,4.4,,0.0,0.0
Graham Guit,5.525,5.9,0.33040379335998327,0.0,0.0
Graham H. Green,7.3,7.3,,0.0,0.0
Graham Hayward,,,,0.0,0.0
Graham Heavenrich,9.1,9.1,,0.0,0.0
Graham Henman,6.0,6.0,,0.0,0.0
Graham Higgins,5.1,5.1,,0.0,0.0
Graham Holliday,6.1,6.1,,0.0,0.0
Graham Holloway,5.2,5.2,,0.0,0.0
Graham Hughes,6.7,7.6,1.0148891565092222,0.0,0.0
Graham Jones,7.6375,10.0,1.5333786225195654,0.0,0.0
Graham Kew,,,,0.0,0.0
Graham Kolbeins,7.1,7.1,,0.0,0.0
Graham L. Carter,6.4,6.4,,0.0,0.0
Graham Lee,,,,0.0,0.0
Graham Little,,,,0.0,0.0
Graham M. Sheppard,6.7,6.7,,0.0,0.0
Graham Marshall,,,,0.0,0.0
Graham Mason,6.8999999999999995,7.3,0.34641016151377535,0.0,0.0
Graham McLaren,6.8,6.8,,0.0,0.0
Graham McSweeney,,,,0.0,0.0
Graham McTavish,,,,0.0,0.0
Graham Meech-Burkestone,4.0,4.0,,0.0,0.0
Graham Meriwether,7.55,8.0,0.636396103067893,0.0,0.0
Graham Moore,,,,0.0,0.0
Graham Nolte,7.1,7.1,,0.0,0.0
Graham Parkes,,,,0.0,0.0
Graham Phillips,5.6,5.6,,0.0,0.0
Graham Place,5.0,5.2,0.2828427124746193,0.0,0.0
Graham Ratliff,3.8,3.8,,0.0,0.0
Graham Reznick,4.5,4.5,,0.0,0.0
Graham Rich,9.0,9.0,,0.0,0.0
Graham Robertson,5.4,5.4,,0.0,0.0
Graham Roos,,,,0.0,0.0
Graham Schmidt,3.2,3.2,,0.0,0.0
Graham Seely,,,,0.0,0.0
Graham Shelby,,,,0.0,0.0
Graham Shirley,,,,0.0,0.0
Graham Skipper,3.8499999999999996,4.6,1.060660171779821,0.0,0.0
Graham Stark,5.3,5.3,,0.0,0.0
Graham Streeter,7.175,8.5,1.573478100684383,0.0,0.0
Graham Suorsa,,,,0.0,0.0
Graham Swon,4.3,4.3,,0.0,0.0
Graham Theakston,4.8,4.8,,0.0,0.0
Graham Townsley,8.1,8.1,,0.0,0.0
Graham W. Birdsall,7.5,7.5,,0.0,0.0
Graham Wallington,,,,0.0,0.0
Graham Waterston,,,,0.0,0.0
Graham West,,,,0.0,0.0
Graham Winfrey,5.1,5.1,,0.0,0.0
Graham Wright,,,,0.0,0.0
Grahame McLean,5.9,6.0,0.14142135623730995,0.0,0.0
Grahame Weinbren,7.300000000000001,7.9,0.8485281374238575,0.0,0.0
Grainger Hines,4.4,4.4,,0.0,0.0
Gram Cam,,,,0.0,0.0
Gram Prasad,5.3,5.3,,0.0,0.0
Gramoz Kurti,,,,0.0,0.0
Gran Bretagna,,,,0.0,0.0
Granaz Moussavi,6.550000000000001,6.7,0.21213203435596445,0.0,0.0
Grand Corps Malade,6.85,7.2,0.49497474683058307,0.0,0.0
Grande Carlo,,,,0.0,0.0
Grandhe Siva Prasad,,,,0.0,0.0
Grannell Knox,,,,0.0,0.0
Grant A. Parsons,,,,0.0,0.0
Grant Aaker,7.2,7.2,,0.0,0.0
Grant Archer,,,,0.0,0.0
Grant Armour,,,,0.0,0.0
Grant Austin Waldman,4.125,4.7,0.6946221994724904,0.0,0.0
Grant Baldwin,7.233333333333333,7.3,0.05773502691896237,0.0,0.0
Grant Barbeito,7.4,7.4,,0.0,0.0
Grant Boyle,6.2,6.2,,0.0,0.0
Grant Brown,4.6,4.6,,0.0,0.0
Grant Carsten,6.8,6.8,,0.0,0.0
Grant Davis,,,,0.0,0.0
Grant Dixon,4.9,4.9,,0.0,0.0
Grant Duffrin,7.8,7.8,,0.0,0.0
Grant Findlay,,,,0.0,0.0
Grant Fraser,,,,0.0,0.0
Grant Garry,,,,0.0,0.0
Grant Gee,7.35,7.7,0.31091263510296024,0.0,0.0
Grant Gulczynski,,,,0.0,0.0
Grant Hamilton,6.7,6.7,,0.0,0.0
Grant Harvey,5.275,5.8,0.7088723439378913,0.0,0.0
Grant Hennessy,,,,0.0,0.0
Grant Heslov,6.25,6.3,0.0707106781186545,0.0,0.0
Grant Humphreys,2.7,2.7,,0.0,0.0
Grant James,7.7,7.7,,0.0,0.0
Grant Jensen,,,,0.0,0.0
Grant Kiser,,,,0.0,0.0
Grant Knisely,8.0,8.0,,0.0,0.0
Grant Korgan,6.8,6.8,,0.0,0.0
Grant Lahood,6.133333333333333,7.7,1.3796134724383255,0.0,0.0
Grant Lancaster,6.3,7.3,1.4142135623730951,0.0,0.0
Grant Leigh Saunders,,,,0.0,0.0
Grant MacDonald,8.733333333333334,8.9,0.28867513459481275,0.0,0.0
Grant Martin,2.8,2.8,,0.0,0.0
Grant McCord,5.0,5.0,,0.0,0.0
Grant McGowen,,,,0.0,0.0
Grant McPhee,5.75,7.5,1.300384558505675,0.0,0.0
Grant Mohrman,3.7,3.7,,0.0,0.0
Grant Nelson,4.4,4.4,,0.0,0.0
Grant Neuhold,,,,0.0,0.0
Grant Neville,,,,0.0,0.0
Grant Olson,4.449999999999999,4.6,0.21213203435596445,0.0,0.0
Grant Osborn,,,,0.0,0.0
Grant Osum,,,,0.0,0.0
Grant Peelle,7.699999999999999,8.2,0.7071067811865472,0.0,0.0
Grant Pichla,5.6,5.6,0.0,0.0,0.0
Grant Polifka,,,,0.0,0.0
Grant Richards,8.1,8.1,,0.0,0.0
Grant Robinson,,,,0.0,0.0
Grant Rosado,,,,0.0,0.0
Grant Rosenmeyer,,,,0.0,0.0
Grant S. Johnson,3.55,3.6,0.07071067811865497,0.0,0.0
Grant Scicluna,6.2,6.2,,0.0,0.0
Grant Singer,6.5,6.5,,0.0,0.0
Grant Skellenger,8.3,8.3,,0.0,0.0
Grant Slater,,,,0.0,0.0
Grant Slawson,,,,0.0,0.0
Grant Sputore,6.7,6.7,,0.0,0.0
Grant Stiles,,,,0.0,0.0
Grant Sui,7.4,7.4,,0.0,0.0
Grant Sui Wonders,,,,0.0,0.0
Grant W. Graves,,,,0.0,0.0
Grant Wakefield,,,,0.0,0.0
Grant Washburn,8.5,8.5,,0.0,0.0
Grantland Thomas,,,,0.0,0.0
Granville Arseneault,8.0,8.0,,0.0,0.0
Granville Bailey,,,,0.0,0.0
Granz Henman,5.0,5.4,0.45825756949558416,0.0,0.0
Gratsiella Kanellou,9.0,9.0,,0.0,0.0
Grau Serra,,,,0.0,0.0
Graubi Garcia,,,,0.0,0.0
Grave Crooper,,,,0.0,0.0
Gray Hofmeyr,5.446153846153846,7.4,1.069747154405645,0.0,0.0
Gray Miller,6.8,6.8,,0.0,0.0
Gray Warriner,,,,0.0,0.0
Grayce Anne Mosier,,,,0.0,0.0
Graydon Gund,,,,0.0,0.0
Grayson Berry,,,,0.0,0.0
Grayson Moore,5.6,5.6,,0.0,0.0
Grayson Murray-Deever,,,,0.0,0.0
Grayson Stroud,5.775,6.0,0.26299556396765833,0.0,0.0
Grayson Tyler Johnson,7.7,7.7,,0.0,0.0
Grayson Wolfe,,,,0.0,0.0
Grazia Tricarico,,,,0.0,0.0
Graziano Cernoia,,,,0.0,0.0
Graziano Conversano,,,,0.0,0.0
Graziano Diana,7.2,7.2,,0.0,0.0
Graziano Graziani,,,,0.0,0.0
Grazyna Kedzielawska,6.7,6.7,,0.0,0.0
Grazyna Kolondra,,,,0.0,0.0
Grazyna Krupa,,,,0.0,0.0
Graça Castanheira,5.8,6.9,1.0535653752852743,0.0,0.0
Grear Patterson,5.3,5.3,,0.0,0.0
Great Valentine Edochie,,,,0.0,0.0
Green Geng,,,,0.0,0.0
Green Zeng,5.2,5.2,,0.0,0.0
Greetje Mulder,8.2,8.2,,0.0,0.0
Greg 'Freddy' Camalier,7.8,7.8,,0.0,0.0
Greg A. Sager,3.8333333333333335,4.3,0.6429100507328633,0.0,0.0
Greg AK,,,,0.0,0.0
Greg Alt,,,,0.0,0.0
Greg Ammon,7.8,7.8,,0.0,0.0
Greg Andermann,,,,0.0,0.0
Greg Appel,8.6,8.6,,0.0,0.0
Greg Arce,4.3,4.3,,0.0,0.0
Greg Aronowitz,4.25,4.7,0.636396103067893,0.0,0.0
Greg Atkins,7.4,7.4,,0.0,0.0
Greg Augustine,4.3,4.3,,0.0,0.0
Greg Bakker,7.1,7.1,,0.0,0.0
Greg Barker,6.69,7.4,0.4433458644845531,0.0,0.0
Greg Bassenian,7.1,7.1,,0.0,0.0
Greg Becker,6.6,6.6,,0.0,0.0
Greg Beeman,5.720000000000001,6.3,0.35637059362410894,0.0,0.0
Greg Bellavia,6.9,6.9,,0.0,0.0
Greg Berg,,,,0.0,0.0
Greg Bergman,4.6,4.6,,0.0,0.0
Greg Berlanti,6.966666666666666,7.5,0.5033222956847166,0.0,0.0
Greg Beville,,,,0.0,0.0
Greg Björkman,,,,0.0,0.0
Greg Blakey,6.4,6.4,,0.0,0.0
Greg Blatman,5.1,5.1,,0.0,0.0
Greg Bradley,,,,0.0,0.0
Greg Browning,,,,0.0,0.0
Greg Burridge,3.8,3.8,,0.0,0.0
Greg Butler,,,,0.0,0.0
Greg Cairns,4.2,4.2,,0.0,0.0
Greg Cally,6.0,6.0,,0.0,0.0
Greg Campbell,7.5,7.5,,0.0,0.0
Greg Carey,8.1,8.1,,0.0,0.0
Greg Carter,4.866666666666666,7.9,1.9274335267396383,0.0,0.0
Greg Chaney,7.8,7.8,,0.0,0.0
Greg Chapman,7.8500000000000005,9.3,2.050609665440988,0.0,0.0
Greg Chwerchak,5.9,5.9,,0.0,0.0
Greg Clark,8.5,8.5,,0.0,0.0
Greg Colasito,,,,0.0,0.0
Greg Coolidge,5.5,5.6,0.141421356237309,0.0,0.0
Greg Corarito,4.4,4.8,0.4830458915396481,0.0,0.0
Greg Coyes,,,,0.0,0.0
Greg Crompton,7.0,7.5,0.7071067811865476,0.0,0.0
Greg Cruttwell,6.2,6.2,,0.0,0.0
Greg D. Williams,7.1,7.1,,0.0,0.0
Greg Dale,,,,0.0,0.0
Greg Daniel,2.9,2.9,,0.0,0.0
Greg DeHart,,,,0.0,0.0
Greg DeLiso,6.300000000000001,7.4,1.555634918610405,0.0,0.0
Greg Derasmo,3.8,4.1,0.4242640687119283,0.0,0.0
Greg Derochie,5.3,5.3,,0.0,0.0
Greg Di Roma,,,,0.0,0.0
Greg Dicharry,8.9,8.9,,0.0,0.0
Greg Dierks,,,,0.0,0.0
Greg Dorchak,5.8,5.8,,0.0,0.0
Greg Durrell,8.5,8.5,,0.0,0.0
Greg Edge Sheuer,,,,0.0,0.0
Greg Elmer,,,,0.0,0.0
Greg Emetaz,3.3,3.3,,0.0,0.0
Greg Everett,8.4,8.4,,0.0,0.0
Greg Fellows,8.5,8.5,,0.0,0.0
Greg Finton,5.75,7.1,1.9091883092036779,0.0,0.0
Greg Ford,7.1,7.1,,0.0,0.0
Greg Francis,6.2,6.2,,0.0,0.0
Greg Franklin,6.1,6.1,,0.0,0.0
Greg Fredette,8.4,8.4,,0.0,0.0
Greg Galloway,5.1,5.9,0.6683312551921144,0.0,0.0
Greg Garrison,5.2,5.9,0.9899494936611668,0.0,0.0
Greg Garthe,4.1,4.1,,0.0,0.0
Greg Glienna,6.2,6.7,0.7810249675906658,0.0,0.0
Greg Gold,3.8,3.8,,0.0,0.0
Greg Grainger,6.1,6.1,,0.0,0.0
Greg Gransden,,,,0.0,0.0
Greg Green,4.566666666666666,5.3,0.7023769168568493,0.0,0.0
Greg Gricus,7.4,7.4,,0.0,0.0
Greg Hall,5.016666666666667,6.7,1.222156563892968,0.0,0.0
Greg Hamilton,8.3,8.3,,0.0,0.0
Greg Hancock,,,,0.0,0.0
Greg Hardes,7.9,7.9,,0.0,0.0
Greg Harrison,6.0,6.6,0.8485281374238566,0.0,0.0
Greg Harveston,,,,0.0,0.0
Greg Hemminger,6.1,7.9,2.545584412271572,0.0,0.0
Greg Hemmings,,,,0.0,0.0
Greg Hemphill,4.2,4.2,,0.0,0.0
Greg Herman,,,,0.0,0.0
Greg Hodson,,,,0.0,0.0
Greg Howard,,,,0.0,0.0
Greg Huglin,,,,0.0,0.0
Greg Hunt,8.0,8.0,,0.0,0.0
Greg Huson,5.15,5.7,0.777817459305203,0.0,0.0
Greg Jackson,5.7,5.7,,0.0,0.0
Greg Jacobs,8.3,8.3,,0.0,0.0
Greg Jacobson,6.9,6.9,,0.0,0.0
Greg James,8.0,8.0,,0.0,0.0
Greg Jardin,,,,0.0,0.0
Greg Johnson,4.2,4.2,,0.0,0.0
Greg Kaplan,8.2,9.1,1.2727922061357857,0.0,0.0
Greg Kappy,,,,0.0,0.0
Greg Keast,,,,0.0,0.0
Greg Keith,,,,0.0,0.0
Greg Kelly,,,,0.0,0.0
Greg Kerr,7.2,7.2,,0.0,0.0
Greg Kiefer,4.800000000000001,5.2,0.5656854249492382,0.0,0.0
Greg Kihlström,8.2,8.2,,0.0,0.0
Greg Kinnear,5.4,5.4,,0.0,0.0
Greg Kohs,7.666666666666667,7.9,0.32145502536643195,0.0,0.0
Greg Koorhan,,,,0.0,0.0
Greg Kovacs,6.7,6.7,,0.0,0.0
Greg Kuk,7.2,7.2,,0.0,0.0
Greg Kwedar,5.8,5.8,,0.0,0.0
Greg L. Hines,,,,0.0,0.0
Greg LaVoi,,,,0.0,0.0
Greg Lammiman,,,,0.0,0.0
Greg Lassik,8.9,8.9,,0.0,0.0
Greg Levins,6.300000000000001,7.9,2.2627416997969525,0.0,0.0
Greg Lewolt,,,,0.0,0.0
Greg Lindsay,5.3,5.3,,0.0,0.0
Greg Little,,,,0.0,0.0
Greg Loftin,5.3,5.3,,0.0,0.0
Greg Lomas,8.2,9.0,1.1313708498984765,0.0,0.0
Greg Lombardo,5.3,5.5,0.2828427124746193,0.0,0.0
Greg MacGillivary,,,,0.0,0.0
Greg MacGillivray,7.3999999999999995,9.2,1.4399074044303455,0.0,0.0
Greg Maletic,7.0,7.0,,0.0,0.0
Greg Malone,,,,0.0,0.0
Greg Manwaring,5.55,6.0,0.636396103067893,0.0,0.0
Greg Marcks,6.4,7.1,0.9899494936611665,0.0,0.0
Greg Martin,,,,0.0,0.0
Greg Masuda,,,,0.0,0.0
Greg Matkosky,,,,0.0,0.0
Greg McDonald,7.1,7.1,,0.0,0.0
Greg McLean,6.0,6.7,0.761577310586391,0.0,0.0
Greg McNichol,4.3,4.3,,0.0,0.0
Greg Mellott,,,,0.0,0.0
Greg Method,,,,0.0,0.0
Greg Miller,6.6,6.6,,0.0,0.0
Greg Mishey,,,,0.0,0.0
Greg Mitchell,,,,0.0,0.0
Greg Morgan,6.1,6.7,0.7348469228349533,0.0,0.0
Greg Moser,3.5,3.5,,0.0,0.0
Greg Mottola,6.840000000000001,7.6,0.6107372593840984,0.0,0.0
Greg Myers,4.6,4.6,,0.0,0.0
Greg Nashvil,8.6,8.6,,0.0,0.0
Greg Naughton,7.0,7.0,,0.0,0.0
Greg Nelson,,,,0.0,0.0
Greg Nemer,3.8,3.8,,0.0,0.0
Greg Newberry,6.4,6.4,,0.0,0.0
Greg Newkirk,8.1,8.1,,0.0,0.0
Greg Nichols,5.7,5.7,,0.0,0.0
Greg Nosaty,,,,0.0,0.0
Greg O'Toole,7.1,7.1,,0.0,0.0
Greg Ogles,7.3,7.3,,0.0,0.0
Greg Olliver,7.35,8.3,1.3820274961085255,0.0,0.0
Greg Osborne,4.2,4.2,,0.0,0.0
Greg Page,5.5,5.5,,0.0,0.0
Greg Pak,6.0,6.0,,0.0,0.0
Greg Palast,6.7,6.7,,0.0,0.0
Greg Parker,,,,0.0,0.0
Greg Paxton,,,,0.0,0.0
Greg Petusky,8.8,8.8,,0.0,0.0
Greg Phelps,8.4,8.4,,0.0,0.0
Greg Phipps,,,,0.0,0.0
Greg Pitts,,,,0.0,0.0
Greg Pond,,,,0.0,0.0
Greg Pope,,,,0.0,0.0
Greg Pritikin,5.675,6.6,0.6499999999999999,0.0,0.0
Greg Purcell,,,,0.0,0.0
Greg Pursino,8.0,8.0,,0.0,0.0
Greg Quinn,,,,0.0,0.0
Greg Rangel,,,,0.0,0.0
Greg Rebuck,,,,0.0,0.0
Greg Reitman,6.9,7.2,0.4242640687119292,0.0,0.0
Greg Rempel,8.1,8.1,,0.0,0.0
Greg Richardson,5.3,5.3,,0.0,0.0
Greg Roach,6.9,6.9,,0.0,0.0
Greg Robbins,4.675000000000001,6.7,2.396351393264352,0.0,0.0
Greg Runnels,7.7,8.3,0.8485281374238578,0.0,0.0
Greg Russo,,,,0.0,0.0
Greg Salman,5.1,5.1,,0.0,0.0
Greg Scott,,,,0.0,0.0
Greg Sestero,,,,0.0,0.0
Greg Sharp,,,,0.0,0.0
Greg Sharrow,,,,0.0,0.0
Greg Shephard,7.1,7.1,,0.0,0.0
Greg Shouse,6.949999999999999,7.1,0.2121320343559638,0.0,0.0
Greg Simmons,,,,0.0,0.0
Greg Sisco,5.45,6.0,0.7778174593052021,0.0,0.0
Greg Sneddon,5.3,5.3,,0.0,0.0
Greg Snider,,,,0.0,0.0
Greg Stechman,3.6666666666666665,4.1,0.40414518843273783,0.0,0.0
Greg Steiner,6.3,6.3,,0.0,0.0
Greg Sterlace,,,,0.0,0.0
Greg Stewart,,,,0.0,0.0
Greg Stiever,7.4,7.4,,0.0,0.0
Greg Stitt,8.0,8.0,,0.0,0.0
Greg Strause,4.55,4.6,0.0707106781186545,0.0,0.0
Greg Stump,7.860000000000001,8.8,0.7893034904268448,0.0,0.0
Greg Sucharew,,,,0.0,0.0
Greg Swanborough,,,,0.0,0.0
Greg Swartz,5.8,5.8,,0.0,0.0
Greg Swinson,2.6,2.6,,0.0,0.0
Greg Takoudes,7.3,7.3,,0.0,0.0
Greg Tennant,5.2,5.2,,0.0,0.0
Greg Tiernan,5.654545454545455,6.8,0.7814904175530707,0.0,0.0
Greg Townsend,7.2,7.2,,0.0,0.0
Greg Travis,6.8500000000000005,8.3,2.050609665440988,0.0,0.0
Greg Tull,,,,0.0,0.0
Greg Valtierra,5.3,5.3,,0.0,0.0
Greg Van Cott,,,,0.0,0.0
Greg Vander Veer,8.1,8.1,,0.0,0.0
Greg Verweyen,,,,0.0,0.0
Greg Voevodsky,,,,0.0,0.0
Greg Vogt,,,,0.0,0.0
Greg W. Locke,7.3,7.3,,0.0,0.0
Greg Ward,7.8,7.8,,0.0,0.0
Greg Watkins,6.7,7.0,0.4242640687119283,0.0,0.0
Greg Whelan,,,,0.0,0.0
Greg White,4.7,4.7,,0.0,0.0
Greg Whiteley,7.4,8.0,0.5477225575051663,0.0,0.0
Greg Wilson,,,,0.0,0.0
Greg Woodland,5.9,5.9,,0.0,0.0
Greg Yaitanes,4.75,5.1,0.49497474683058273,0.0,0.0
Greg Young,6.6,6.9,0.4242640687119292,0.0,0.0
Greg Zajac,7.8,7.8,,0.0,0.0
Greg Zekowski,5.15,5.2,0.07071067811865545,0.0,0.0
Greg Zglinski,6.55,6.8,0.31091263510296085,0.0,0.0
Gregg Araki,6.158333333333334,7.6,0.6111960455210799,0.0,0.0
Gregg Barson,8.2,8.2,,0.0,0.0
Gregg Biermann,,,,0.0,0.0
Gregg Bishop,5.125,5.8,0.6701989754294364,0.0,0.0
Gregg Blake,,,,0.0,0.0
Gregg Bordowitz,6.65,6.9,0.3535533905932738,0.0,0.0
Gregg Bray,,,,0.0,0.0
Gregg Brown,8.8,8.8,,0.0,0.0
Gregg Cannizzaro,5.05,5.5,0.636396103067893,0.0,0.0
Gregg Champion,6.15,6.4,0.3535533905932738,0.0,0.0
Gregg Conde,,,,0.0,0.0
Gregg Cummins,,,,0.0,0.0
Gregg De Guzman,5.6,5.6,,0.0,0.0
Gregg Elder,5.0,5.0,,0.0,0.0
Gregg Furuoka,,,,0.0,0.0
Gregg G. Tallas,5.26,6.2,0.9939818911831342,0.0,0.0
Gregg Gelfand,,,,0.0,0.0
Gregg Gibbs,7.8,8.2,0.5656854249492372,0.0,0.0
Gregg Godfrey,7.3999999999999995,8.2,1.1313708498984758,0.0,0.0
Gregg Golding,5.699999999999999,6.6,1.272792206135785,0.0,0.0
Gregg Grossman,7.8,7.8,,0.0,0.0
Gregg Hale,4.8999999999999995,6.0,1.493318452306808,0.0,0.0
Gregg Harris,,,,0.0,0.0
Gregg Holtgrewe,4.866666666666666,6.3,1.2662279942148384,0.0,0.0
Gregg Jamback,8.0,8.0,,0.0,0.0
